YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026/01/10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026/01/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026/01/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026/01/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026/01/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2026/01/15,2287,586,206,107,103,132,274,302,240,171,120,134,192,118,65,73,66,59,73,95,72,94,130,122
2026/01/16,96,36,13,10,4,16,14,25,25,10,19,11,21,17,13,10,13,16,19,20,11,18,13,19
2026/01/17,9,2,5,3,7,4,3,6,11,30,15,11,18,8,8,7,13,12,9,11,11,4,8,11
2026/01/18,8,5,1,3,3,0,2,4,2,1,0,5,6,2,8,0,4,3,15,13,5,1,5,7
2026/01/19,4,3,0,1,0,1,2,6,2,0,1,4,2,0,0,2,2,3,9,4,7,10,10,6
2026/01/20,16,1,4,0,0,1,3,2,2,1,3,30,88,57,41,30,19,26,18,17,14,8,9,20
2026/01/21,11,3,1,3,1,4,2,5,4,4,2,3,3,1,1,4,3,1,2,1,3,6,6,3
2026/01/22,1,3,4,1,0,0,0,2,5,2,0,2,1,1,0,0,1,0,1,0,3,3,2,14
2026/01/23,4,1,1,0,0,1,1,2,5,4,1,1,2,0,0,0,1,1,0,2,4,2,0,2
2026/01/24,1,3,4,2,1,0,1,0,0,2,1,3,1,0,1,1,1,0,1,0,1,2,0,4
2026/01/25,1,2,0,1,3,0,2,0,1,1,1,2,15,5,1,4,3,0,3,2,1,2,0,4
2026/01/26,0,4,2,1,0,0,5,3,3,0,24,19,38,8,10,6,7,9,7,9,16,3,5,9
2026/01/27,2,5,2,1,0,1,0,5,4,5,2,5,1,1,1,0,2,1,2,2,7,5,5,5
2026/01/28,0,3,0,4,2,1,3,6,11,5,7,4,1,5,2,5,3,6,2,4,1,1,7,0
2026/01/29,0,0,0,0,0,0,1,10,7,1,1,2,2,4,2,1,1,1,6,1,0,1,2,5
2026/01/30,2,2,0,0,0,1,2,1,2,2,1,3,4,1,3,0,2,1,4,1,5,0,2,3
2026/01/31,0,0,0,0,0,0,0,4,45,14,13,8,6,8,2,2,4,4,0,3,1,8,2,10
2026/02/01,4,2,3,2,0,0,1,4,6,2,0,3,6,1,0,2,1,0,11,2,3,0,5,5
2026/02/02,3,1,1,0,2,6,1,4,4,1,1,3,1,1,1,1,5,2,2,1,4,6,2,1
2026/02/03,0,0,0,0,0,0,0,4,4,1,1,1,4,0,0,3,0,1,1,0,2,1,3,5
2026/02/04,0,0,1,0,0,0,4,2,7,1,1,2,2,0,2,0,1,1,2,5,6,2,1,3
2026/02/05,2,0,0,0,0,0,1,7,1,2,0,2,1,0,0,0,3,0,0,1,1,1,1,1
2026/02/06,0,1,0,0,0,0,1,6,1,0,0,2,1,0,1,0,4,1,0,0,0,0,1,2
2026/02/07,0,0,0,0,0,0,2,1,2,1,1,0,1,2,0,2,0,1,1,2,0,3,1,1
2026/02/08,1,1,0,0,0,0,1,3,7,1,2,4,1,2,0,3,0,2,0,3,2,3,1,0
2026/02/09,0,1,4,1,0,0,3,4,4,0,1,2,4,0,1,0,1,0,0,1,0,0,0,1
2026/02/10,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,3,0,3
2026/02/11,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,1,0,1,2,0,1,0,1
2026/02/12,1,0,1,1,0,0,1,0,1,1,6,1,3,1,1,0,0,0,0,3,0,0,2,0
2026/02/13,0,0,0,0,0,0,1,8,1,0,2,1,3,2,0,0,0,0,0,0,0,0,0,0
