YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2026/01/08,34,12,7,6,9,3,10,14,6,10,3,5,8,10,8,7,12,1,27,9,18,23,8,10
2026/01/09,2,4,4,1,2,0,1,5,3,3,3,2,3,2,1,6,3,5,3,4,3,3,3,4
2026/01/10,2,1,0,3,1,0,0,3,1,2,0,0,2,4,0,3,0,1,2,1,3,3,1,3
2026/01/11,1,1,2,0,0,3,0,1,0,0,0,2,3,1,1,2,1,2,0,1,2,1,1,2
2026/01/12,2,5,2,0,1,0,1,1,0,2,0,2,3,4,0,2,0,0,0,1,2,1,3,0
2026/01/13,0,2,0,1,0,0,2,2,0,0,2,2,1,2,2,2,0,3,0,2,3,2,2,4
2026/01/14,0,2,1,1,0,0,0,0,1,1,0,2,3,1,1,8,4,6,10,9,3,12,2,6
2026/01/15,2,6,3,2,0,1,4,0,0,2,5,2,3,17,9,5,9,12,12,6,4,8,220,173
2026/01/16,69,19,11,10,10,10,20,26,15,16,17,5,8,1,0,0,0,0,0,0,0,0,0,0
