YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026/01/08,8,0,0,1,0,1,1,3,0,1,3,1,6,4,5,3,6,16,8,4,9,3,8,7
2026/01/09,3,5,2,0,0,0,1,3,2,2,2,2,5,4,1,3,3,7,4,3,2,7,8,9
2026/01/10,6,3,0,3,2,3,2,6,1,3,8,0,7,8,1,181,340,147,93,72,56,46,23,20
2026/01/11,19,8,15,6,10,4,5,6,7,9,7,10,12,10,6,3,8,6,4,2,4,4,3,7
2026/01/12,6,8,4,2,2,0,1,3,5,1,3,3,4,4,2,2,3,2,5,4,2,4,5,0
2026/01/13,0,2,1,0,0,0,3,1,4,0,2,2,1,3,1,3,0,1,3,2,2,3,2,5
2026/01/14,2,1,0,0,1,1,0,3,0,1,4,1,2,0,2,2,3,1,3,5,1,4,10,4
2026/01/15,8,6,1,2,1,1,1,3,1,2,2,0,19,6,3,4,5,13,14,7,10,6,3,10
2026/01/16,3,4,3,1,2,1,2,12,4,5,4,3,2,3,1,4,1,28,23,10,14,9,13,11
2026/01/17,3,1,4,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
