YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2026/01/08,2,0,0,0,0,0,0,0,0,1,1,0,3,7,5,3,3,234,130,77,59,53,41,31
2026/01/09,14,8,6,2,2,2,7,7,3,6,4,4,4,8,0,5,3,7,9,5,7,8,5,11
2026/01/10,7,3,1,1,5,2,4,6,0,1,0,2,2,3,0,0,0,2,1,1,2,3,6,1
2026/01/11,0,0,2,1,0,0,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,3,1,2
2026/01/12,1,1,3,1,7,1,0,1,1,2,0,1,1,1,2,0,0,1,1,0,3,2,1,3
2026/01/13,3,3,0,0,0,0,0,9,0,1,2,0,32,8,3,10,2,7,20,10,9,3,5,5
2026/01/14,2,0,0,1,0,0,0,1,3,3,2,1,229,112,58,49,30,25,21,22,20,28,17,16
2026/01/15,15,7,3,5,2,2,2,5,5,8,0,0,27,7,11,10,5,14,12,5,10,6,7,14
2026/01/16,13,6,2,0,0,2,3,1,4,2,5,9,4,4,0,1,4,14,3,5,4,4,5,2
2026/01/17,0,0,0,2,1,1,3,7,1,0,0,0,5,1,1,1,0,1,3,4,1,0,231,119
2026/01/18,52,20,13,10,10,9,18,6,13,22,13,10,9,11,5,2,2,3,7,6,4,8,10,5
2026/01/19,2,0,1,0,0,1,0,1,1,3,1,0,3,3,2,1,3,2,139,54,36,20,15,14
2026/01/20,11,7,2,1,2,2,3,3,0,1,2,0,3,0,2,2,1,2,0,2,3,3,3,0
2026/01/21,1,7,0,1,0,0,0,0,2,2,0,0,2,1,8,0,2,0,2,1,2,0,3,0
2026/01/22,0,0,0,0,1,0,0,2,1,1,3,1,1,2,1,5,2,1,10,2,9,10,7,12
2026/01/23,3,0,1,1,0,0,0,0,1,0,2,0,1,0,0,2,1,0,0,1,3,1,1,0
2026/01/24,0,0,0,0,1,0,0,0,1,1,1,1,2,1,0,1,2,1,0,1,0,0,1,1
2026/01/25,0,2,1,0,1,1,1,1,0,0,1,3,0,3,1,2,3,3,1,0,4,9,4,3
2026/01/26,14,3,1,0,0,0,1,1,2,2,1,1,4,2,5,2,0,3,8,9,1,3,37,8
2026/01/27,9,6,1,2,1,1,1,0,4,1,1,0,3,17,9,6,113,214,86,63,60,25,16,30
2026/01/28,11,10,5,6,6,7,7,5,2,5,4,2,8,7,2,4,0,173,157,74,64,29,31,18
2026/01/29,14,11,8,4,5,3,4,5,9,4,4,6,5,3,5,6,19,6,4,3,4,4,3,6
2026/01/30,4,1,0,0,0,2,1,1,0,1,2,0,2,1,2,3,2,1,1,1,4,2,3,0
2026/01/31,3,1,3,0,0,0,1,3,1,0,1,2,2,9,9,11,3,5,3,9,3,4,3,5
2026/02/01,6,4,5,1,1,2,2,4,1,3,0,1,1,3,2,0,3,2,4,2,28,17,19,6
2026/02/02,6,13,3,4,1,1,2,3,1,1,2,1,4,3,0,3,202,171,100,82,55,45,27,25
2026/02/03,20,2,6,6,6,8,8,5,13,7,8,6,8,9,18,10,11,17,11,8,6,5,4,2
2026/02/04,2,4,2,3,0,0,6,5,3,1,2,3,3,4,3,3,0,3,1,0,4,2,3,1
2026/02/05,1,1,1,2,1,0,2,0,0,0,3,2,12,9,8,8,17,14,12,14,18,22,8,11
2026/02/06,6,0,2,1,0,1,1,1,1,4,1,1,2,1,1,5,0,1,2,0,1,2,0,2
2026/02/07,0,2,1,0,0,1,1,1,0,4,1,0,5,5,6,4,21,15,10,7,18,16,11,11
2026/02/08,7,2,4,2,2,2,1,1,6,5,2,7,6,9,1,3,7,187,194,110,36,52,33,33
2026/02/09,18,9,15,5,6,2,2,6,3,10,4,5,5,15,10,4,4,5,8,8,25,36,26,18
