YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,82,48
2026/01/08,33,12,10,6,7,2,10,7,10,5,5,5,7,10,4,2,6,17,16,14,12,96,249,91
2026/01/09,36,19,8,4,6,5,18,16,7,9,5,8,10,7,4,17,6,12,7,6,8,12,16,15
2026/01/10,7,3,4,2,1,1,1,4,3,4,6,4,5,2,3,3,2,5,2,2,2,2,1,2
2026/01/11,5,2,1,1,0,1,0,0,0,2,2,1,1,0,0,1,1,3,6,0,0,2,3,1
2026/01/12,6,4,0,1,0,0,1,1,2,0,1,2,2,2,0,1,0,0,2,1,1,162,198,66
2026/01/13,37,18,14,9,6,16,14,16,10,8,9,8,6,4,7,7,3,9,6,11,12,7,9,5
2026/01/14,6,2,0,2,0,0,2,1,3,1,0,2,4,2,2,1,3,1,3,70,226,204,148,122
2026/01/15,61,33,11,10,6,6,10,11,7,21,9,7,16,14,12,4,5,6,4,296,91,70,40,25
2026/01/16,32,7,11,8,3,6,5,10,4,8,8,6,8,7,5,2,7,9,4,35,27,34,18,13
2026/01/17,6,0,0,1,0,0,2,13,4,1,2,0,2,1,1,3,2,2,2,0,2,1,5,134
2026/01/18,126,39,23,12,15,11,32,18,20,19,23,14,11,9,4,5,4,8,8,11,7,5,6,8
2026/01/19,6,0,2,0,0,1,2,3,2,4,2,0,4,3,2,3,1,1,0,258,148,79,70,39
2026/01/20,29,14,9,5,6,14,11,12,7,7,6,4,8,4,7,3,2,4,4,1,7,4,3,8
2026/01/21,4,0,1,1,1,1,4,1,2,1,1,2,2,0,1,1,3,3,2,2,0,5,2,0
2026/01/22,3,0,0,0,0,2,1,4,2,1,4,1,5,164,100,55,39,47,33,21,21,32,33,27
2026/01/23,18,8,5,1,3,6,5,9,5,1,3,3,7,2,5,1,3,5,5,4,9,2,1,2
2026/01/24,2,0,0,0,0,0,2,1,1,1,1,1,11,6,4,4,0,3,3,8,11,3,3,2
2026/01/25,9,1,2,1,1,0,2,2,0,0,2,0,3,262,92,69,41,26,24,15,14,14,12,13
2026/01/26,23,16,5,4,2,7,6,11,10,4,3,8,7,6,10,4,2,5,6,5,7,1,6,2
2026/01/27,8,0,0,0,1,1,1,4,3,4,1,2,4,48,41,2,3,3,1,5,334,94,56,24
2026/01/28,24,10,7,18,10,8,7,9,12,9,2,4,9,4,7,103,139,69,53,38,39,21,22,17
2026/01/29,12,11,8,3,4,4,2,6,4,4,3,4,4,2,5,3,194,168,74,24,24,37,27,26
2026/01/30,15,12,5,3,2,3,6,4,1,5,6,6,4,6,2,2,4,4,4,4,11,7,18,9
2026/01/31,4,5,0,0,3,0,2,1,2,2,2,4,3,3,4,1,2,2,3,9,6,306,109,67
2026/02/01,50,34,16,7,9,10,11,17,21,11,8,33,13,16,13,181,174,105,47,0,0,0,0,0
