YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,77
2026/01/08,641,213,82,44,48,52,47,71,72,67,72,83,137,91,121,110,83,105,123,101,108,98,101,87
2026/01/09,156,49,17,13,8,14,18,32,29,42,28,33,32,43,25,21,22,22,22,27,23,34,29,20
2026/01/10,9,13,12,10,3,5,5,9,24,13,13,13,21,18,13,16,16,11,18,42,40,42,41,46
2026/01/11,15,5,13,12,5,6,6,14,16,23,16,28,31,22,8,23,38,29,16,21,17,20,13,16
2026/01/12,16,29,11,5,8,3,4,3,3,7,10,12,8,18,14,9,11,8,13,9,13,24,16,11
2026/01/13,11,12,3,0,3,6,7,12,3,11,5,5,7,5,6,9,7,6,12,195,140,76,43,24
2026/01/14,25,23,11,4,5,11,8,15,30,16,13,18,19,12,10,16,19,18,17,16,15,16,11,18
2026/01/15,11,3,4,2,6,2,1,7,4,3,8,7,18,11,12,10,13,14,18,15,19,20,12,14
2026/01/16,11,8,5,0,0,2,0,2,12,10,5,16,7,9,4,5,10,7,3,8,13,8,14,14
2026/01/17,0,2,0,2,7,3,2,5,17,16,8,7,16,11,5,7,14,4,14,7,8,36,47,35
2026/01/18,17,33,9,2,8,10,11,19,10,13,23,17,9,13,13,17,25,27,30,28,26,34,39,21
2026/01/19,12,16,14,7,2,6,12,11,5,303,179,83,128,42,35,21,24,23,17,25,18,62,33,28
2026/01/20,25,9,4,3,4,9,5,13,11,9,12,4,16,11,9,5,10,14,0,0,0,0,0,0
