YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,6
2026/01/08,13,8,1,0,0,0,1,2,2,5,4,1,1,1,5,4,3,10,14,11,4,9,5,9
2026/01/09,2,1,1,1,1,0,3,2,2,2,0,1,2,3,3,0,1,1,2,3,4,7,244,190
2026/01/10,54,38,22,14,9,13,22,21,38,8,21,15,22,12,14,9,7,9,5,9,8,9,7,2
2026/01/11,6,0,0,2,3,1,6,1,1,0,2,5,2,2,2,3,3,2,3,1,1,5,3,2
2026/01/12,2,0,2,1,3,2,0,0,2,2,3,1,1,23,29,14,11,9,3,11,4,8,10,4
2026/01/13,4,3,2,2,2,3,2,4,1,5,3,0,3,1,2,2,3,2,5,3,3,0,1,3
2026/01/14,0,0,3,3,0,0,0,0,0,2,0,2,3,3,1,1,2,1,2,2,1,3,0,2
2026/01/15,1,0,1,0,3,2,4,7,0,3,1,1,15,7,3,3,4,9,13,7,6,314,158,83
2026/01/16,61,14,12,11,4,11,13,21,16,15,12,11,14,8,6,8,7,6,5,27,197,53,33,27
2026/01/17,2,6,3,8,2,5,2,10,6,5,5,5,13,6,4,9,9,8,11,10,5,10,11,2
2026/01/18,4,2,3,1,0,2,2,1,5,1,2,4,9,1,12,3,13,11,10,5,35,18,375,118
2026/01/19,70,45,26,12,19,9,26,25,28,20,20,10,15,8,7,8,7,11,23,21,19,13,13,6
2026/01/20,4,5,3,1,0,5,2,4,1,5,4,4,5,4,4,2,3,3,2,3,5,7,2,9
2026/01/21,1,1,1,1,2,2,1,1,1,2,1,1,1,0,0,1,0,1,1,1,4,2,4,3
2026/01/22,2,1,0,1,1,1,1,1,4,3,5,1,11,2,4,4,5,3,8,1,7,9,12,10
2026/01/23,5,0,2,1,1,1,3,5,6,2,2,2,0,3,2,0,1,2,5,1,1,5,4,2
2026/01/24,2,6,1,0,0,0,1,1,1,2,1,4,2,5,1,5,1,1,3,4,3,2,7,4
2026/01/25,3,5,1,0,1,1,0,0,2,0,3,0,0,1,1,1,4,4,5,1,12,6,8,12
2026/01/26,3,2,0,0,0,0,0,2,2,2,0,2,1,0,3,1,1,1,4,15,63,42,36,30
2026/01/27,11,9,4,0,1,1,8,9,6,4,4,2,3,4,2,3,5,2,2,6,6,4,4,6
2026/01/28,4,4,2,7,3,3,2,6,6,3,0,0,6,5,6,6,3,3,4,5,5,9,7,26
2026/01/29,5,4,1,0,1,3,5,13,8,5,8,7,14,7,5,10,8,134,238,59,45,60,37,27
2026/01/30,21,12,8,7,3,4,3,3,2,6,4,9,7,6,5,4,6,4,7,5,7,5,3,4
2026/01/31,2,4,0,0,0,0,2,1,2,4,2,1,3,2,3,0,2,1,2,8,5,5,2,4
2026/02/01,0,0,2,1,0,1,2,5,2,4,3,3,3,7,2,1,3,2,4,2,1,10,6,5
2026/02/02,2,3,3,2,1,3,0,2,3,4,0,0,1,0,4,0,4,2,2,0,3,3,5,6
2026/02/03,2,1,0,2,0,0,1,3,3,2,2,1,12,2,2,4,1,4,10,5,5,6,8,5
2026/02/04,1,1,0,0,0,0,3,5,6,1,0,1,12,9,5,7,5,9,29,31,28,27,26,26
2026/02/05,26,16,8,6,2,5,13,15,8,12,82,75,124,78,10,0,0,0,0,0,0,0,0,0
