YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,560,645,565,651,595,594,337
2026/01/08,264,206,144,125,91,92,136,196,194,156,198,215,1123,619,444,317,446,567,608,540,504,526,513,348
2026/01/09,192,141,93,87,108,113,81,160,142,130,160,145,996,510,425,416,297,467,444,410,358,443,435,421
2026/01/10,276,164,110,158,96,80,119,188,245,213,274,238,265,193,177,154,201,214,345,251,267,187,228,178
2026/01/11,25,33,33,16,14,16,21,17,23,18,17,27,18,16,10,12,23,29,572,396,240,211,161,118
2026/01/12,107,73,42,29,21,23,20,28,50,33,41,39,38,52,45,41,38,25,295,231,154,103,103,83
2026/01/13,67,38,10,14,18,15,19,30,21,13,16,21,26,19,16,14,22,20,128,65,75,63,43,33
2026/01/14,29,20,12,9,6,5,9,7,8,9,15,16,21,10,10,12,9,10,113,56,43,29,30,15
2026/01/15,14,8,4,5,4,2,3,18,8,11,11,12,23,13,21,17,10,36,102,99,51,42,31,28
2026/01/16,19,11,3,6,5,7,7,12,13,4,16,82,74,61,59,39,43,55,141,82,73,77,126,72
2026/01/17,28,14,8,17,16,20,16,41,24,28,29,35,41,29,29,31,25,28,99,82,58,50,51,29
2026/01/18,19,13,12,5,4,6,10,11,30,21,24,15,30,21,29,17,18,19,121,74,46,36,38,24
2026/01/19,20,22,10,4,1,4,7,20,13,10,20,14,23,14,16,17,10,24,16,20,23,20,20,12
2026/01/20,9,10,5,2,4,7,10,19,10,13,15,9,24,12,12,19,11,23,14,188,202,153,105,71
2026/01/21,72,28,19,8,14,15,29,31,36,36,44,36,56,31,42,30,32,37,25,191,1107,1397,1039,866
2026/01/22,641,284,141,139,99,95,177,283,215,118,122,102,222,118,97,157,121,145,144,122,138,79,93,91
2026/01/23,63,29,18,12,6,15,29,50,48,20,21,21,42,15,29,15,121,303,200,142,126,147,92,104
2026/01/24,113,35,35,17,12,15,37,35,39,49,48,35,52,25,42,43,36,38,55,53,65,52,40,49
2026/01/25,26,24,19,29,9,10,13,19,20,22,25,18,19,24,15,29,28,29,39,37,38,28,356,295
2026/01/26,119,147,57,41,31,16,29,32,31,50,37,33,71,33,34,33,60,36,128,132,193,127,123,84
2026/01/27,45,35,40,13,9,15,26,37,29,22,41,21,29,18,27,18,15,20,18,29,28,19,26,19
2026/01/28,7,11,5,11,3,8,7,6,23,13,15,16,32,28,18,39,17,23,28,40,25,40,53,39
2026/01/29,37,21,20,11,13,17,27,28,205,186,149,109,157,86,58,72,59,52,65,54,47,57,55,57
2026/01/30,33,31,12,20,12,14,13,21,56,41,71,80,108,58,51,117,106,102,82,144,94,83,80,73
2026/01/31,47,25,26,26,10,14,15,22,21,13,25,16,40,23,20,19,15,10,16,22,15,59,50,40
2026/02/01,21,29,11,11,15,20,34,38,50,51,48,42,27,22,20,12,21,29,17,23,26,17,18,11
2026/02/02,19,19,12,11,3,4,4,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
