YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,8
2026/01/08,5,0,2,0,0,0,0,3,3,0,3,5,12,3,1,1,7,20,14,95,120,158,411,132
2026/01/09,60,32,21,6,12,9,29,24,19,25,19,12,15,8,15,26,7,12,11,16,11,341,163,76
2026/01/10,34,22,18,10,7,12,11,11,14,13,15,12,20,8,7,5,199,157,89,73,44,32,29,23
2026/01/11,18,9,9,2,8,3,2,3,10,8,11,23,19,9,12,4,8,5,41,23,15,10,17,16
2026/01/12,11,9,13,1,0,2,1,2,5,2,4,2,5,1,9,12,12,6,5,18,13,13,10,9
2026/01/13,9,5,1,1,4,1,5,6,3,2,2,0,3,4,2,3,3,1,3,5,8,5,1,4
2026/01/14,4,1,3,0,0,0,0,1,3,3,1,6,1,2,5,4,4,2,6,2,6,4,4,0
2026/01/15,0,1,6,1,2,1,1,10,1,1,0,2,6,5,4,1,7,7,9,14,12,14,8,13
2026/01/16,7,2,4,1,1,1,0,4,5,5,4,1,4,4,0,5,0,2,2,1,199,198,84,53
2026/01/17,5,7,3,14,5,8,8,14,13,22,12,16,17,5,9,8,6,15,8,7,3,9,21,17
2026/01/18,18,11,8,3,3,1,5,9,3,9,3,5,4,3,4,4,9,4,12,3,8,11,8,3
2026/01/19,3,7,3,0,0,0,1,1,1,2,0,0,2,1,0,1,2,3,3,1,3,10,1,3
2026/01/20,2,1,0,1,0,2,1,3,3,3,5,4,6,3,8,4,6,3,6,3,3,16,3,5
2026/01/21,6,3,4,1,2,0,1,3,2,7,6,1,5,2,2,2,3,4,3,0,3,20,19,11
2026/01/22,4,3,5,1,1,0,2,3,6,3,5,1,10,5,3,7,13,15,12,5,12,14,7,7
2026/01/23,6,0,1,4,0,1,3,5,3,2,2,2,4,1,4,0,2,6,2,2,1,6,40,17
2026/01/24,20,4,2,1,3,4,5,11,10,6,8,5,1,3,5,6,4,4,7,3,5,1,4,4
2026/01/25,3,3,1,3,1,2,0,1,2,3,1,1,6,2,8,4,1,5,30,18,18,31,31,19
2026/01/26,13,5,1,2,0,1,0,2,2,2,1,5,5,5,7,2,0,3,8,9,12,22,6,11
2026/01/27,7,4,2,1,1,2,6,6,4,2,5,1,3,3,1,2,1,276,137,78,79,34,32,26
2026/01/28,17,13,8,6,1,5,3,8,9,7,6,0,7,8,2,7,0,4,177,157,89,52,39,52
2026/01/29,22,11,6,3,3,8,4,14,16,12,8,9,15,14,12,14,13,21,9,53,36,18,13,15
2026/01/30,18,10,2,2,3,2,1,5,3,5,3,7,4,6,3,6,5,0,3,5,4,1,3,5
2026/01/31,1,5,2,1,0,1,1,0,0,1,3,4,1,8,2,0,1,2,5,4,6,5,2,2
2026/02/01,1,1,0,2,0,2,0,4,4,1,1,3,5,7,3,3,9,9,1,2,4,4,6,3
2026/02/02,2,8,3,0,1,0,0,0,1,2,1,4,3,3,0,4,9,8,14,7,6,4,7,5
2026/02/03,1,2,1,1,2,1,1,1,1,6,8,4,4,1,3,3,3,6,7,5,6,8,4,2
2026/02/04,6,1,0,1,2,0,4,5,3,0,3,2,4,3,3,4,0,0,2,6,5,7,2,2
2026/02/05,5,3,3,2,0,1,1,1,1,4,0,1,7,7,5,12,16,26,20,42,41,55,38,27
2026/02/06,14,4,15,1,0,2,5,11,9,5,6,928,1815,691,526,410,339,325,307,269,275,289,294,228
2026/02/07,128,91,72,61,50,65,56,79,78,120,102,111,96,88,95,83,75,59,49,47,47,104,359,156
2026/02/08,68,31,32,21,12,19,24,27,24,25,30,45,22,23,19,40,53,39,48,34,18,28,29,15
2026/02/09,13,14,6,8,4,5,8,13,11,9,6,10,12,9,7,14,12,5,13,18,12,18,70,41
2026/02/10,22,12,11,8,7,6,11,9,14,11,7,15,266,200,113,89,38,41,47,48,32,35,39,24
2026/02/11,17,16,7,5,11,8,7,8,18,17,24,18,29,29,41,46,44,39,39,24,53,40,55,50
2026/02/12,29,20,24,11,16,27,22,31,30,23,24,36,265,93,64,92,55,80,135,155,100,133,90,89
2026/02/13,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
