YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,0
2026/01/08,7,2,0,1,0,0,0,1,2,0,1,2,7,2,0,1,3,11,13,5,9,6,4,6
2026/01/09,0,0,0,0,0,2,2,0,0,0,2,0,4,1,1,3,2,1,0,1,9,116,297,84
2026/01/10,44,33,20,10,12,11,13,17,125,26,22,15,20,11,6,3,7,5,7,4,11,10,6,5
2026/01/11,4,2,2,1,2,1,1,1,1,3,4,3,1,2,1,5,3,3,0,282,117,68,35,36
2026/01/12,28,18,14,5,8,7,3,6,9,7,5,7,9,5,8,3,7,2,4,2,3,7,8,5
2026/01/13,3,2,0,0,1,0,1,5,0,2,1,3,3,1,1,0,1,1,3,6,3,6,1,2
2026/01/14,3,2,1,1,0,1,1,1,3,0,0,2,0,1,1,2,1,1,2,1,3,3,5,1
2026/01/15,2,4,1,0,1,0,1,2,13,4,1,1,6,3,3,2,3,7,7,2,12,6,6,12
2026/01/16,9,4,1,1,3,1,3,2,2,3,3,6,2,6,2,3,2,3,1,2,4,110,50,31
2026/01/17,1,6,1,9,11,4,5,23,107,17,14,10,10,10,7,2,5,7,3,2,3,4,1,5
2026/01/18,3,2,2,0,3,0,2,1,1,2,3,2,1,2,0,0,0,0,0,0,0,0,0,0
