YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,6,2
2026/01/08,3,4,0,1,0,1,1,0,0,0,1,3,0,1,1,2,5,17,20,10,10,9,3,14
2026/01/09,2,4,0,3,0,0,2,2,1,1,2,4,0,3,1,1,0,1,2,4,1,5,21,20
2026/01/10,4,1,2,2,0,1,1,2,4,4,2,5,12,10,13,8,4,4,17,55,67,59,39,30
2026/01/11,9,18,6,4,2,3,5,5,4,1,3,3,3,2,5,2,2,0,6,3,2,2,3,2
2026/01/12,0,7,2,1,0,3,0,0,2,0,3,4,2,1,3,0,2,1,1,2,1,3,3,1
2026/01/13,2,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,4,5,0,3,2,3
2026/01/14,2,0,0,3,0,0,0,3,1,0,2,5,1,1,2,0,3,3,3,0,0,1,8,2
2026/01/15,5,4,0,1,5,3,5,3,1,2,1,1,4,6,4,1,3,0,10,5,6,10,3,6
2026/01/16,8,2,0,3,0,0,0,2,0,2,3,4,3,4,4,4,0,3,2,5,1,1,285,133
2026/01/17,14,18,5,18,11,15,13,13,21,19,10,11,7,7,9,8,3,9,10,4,6,3,4,6
2026/01/18,5,0,2,2,0,1,4,1,1,3,4,1,4,2,1,1,3,3,5,2,4,2,1,2
2026/01/19,1,16,3,0,0,1,0,3,1,4,0,2,5,0,1,1,1,1,5,3,3,7,1,1
2026/01/20,0,0,1,1,0,1,1,0,0,1,3,1,1,1,1,1,1,1,2,7,2,2,2,0
2026/01/21,0,0,3,0,1,0,1,0,2,2,1,0,0,0,0,0,0,0,1,0,3,5,2,3
2026/01/22,1,2,0,2,0,0,2,1,4,3,3,0,2,2,2,2,2,0,1,2,2,4,1,11
2026/01/23,3,1,0,0,1,0,3,4,0,0,2,1,0,0,1,0,4,0,0,0,0,3,3,0
2026/01/24,2,0,1,1,0,1,1,1,2,2,1,2,3,1,0,3,3,1,2,2,1,4,2,2
2026/01/25,2,0,0,0,2,2,0,1,1,0,0,2,1,4,1,3,1,1,1,3,4,4,2,0
2026/01/26,3,2,1,0,1,2,2,2,1,5,0,3,2,0,1,1,0,1,0,1,2,3,3,2
2026/01/27,0,1,0,0,0,0,2,2,2,2,2,4,1,2,1,2,0,2,55,34,41,56,70,40
2026/01/28,32,25,10,15,14,15,17,38,39,25,17,96,107,52,26,19,21,21,20,23,15,12,20,19
2026/01/29,14,10,2,4,1,7,2,5,9,6,8,9,14,7,15,4,3,11,13,7,9,12,11,11
2026/01/30,8,4,1,1,4,2,1,5,1,1,1,5,7,5,1,5,2,4,2,3,6,15,11,13
2026/01/31,4,2,0,2,1,0,0,1,0,2,2,141,96,34,30,32,20,20,7,16,10,11,15,12
2026/02/01,10,5,1,3,2,0,3,5,1,6,4,150,103,41,21,28,36,24,487,190,108,57,65,23
2026/02/02,26,29,8,7,8,1,2,7,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
