YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/08,25,47,9,19,11,11,12,23,14,18,8,12,14,26,43,12,24,31,49,19,31,33,30,27
2026/01/09,15,5,6,0,0,3,5,9,10,6,7,10,6,5,7,12,7,16,11,11,9,13,15,19
2026/01/10,15,13,4,5,2,2,2,11,3,7,4,8,7,10,7,4,4,6,2,7,10,5,13,1
2026/01/11,1,6,2,5,0,0,2,2,0,3,1,2,6,6,4,5,4,4,3,6,3,13,3,7
2026/01/12,12,1,1,5,1,0,1,2,1,1,3,3,4,24,30,17,12,459,190,121,89,56,44,45
2026/01/13,32,16,15,7,9,4,16,20,10,11,10,11,10,3,8,7,9,9,11,8,18,20,13,15
2026/01/14,9,3,5,1,4,2,1,3,7,4,4,3,6,2,7,5,6,9,6,71,61,47,87,102
2026/01/15,36,19,6,6,4,2,6,9,2,13,8,3,41,18,18,9,18,35,25,18,409,229,105,83
2026/01/16,61,19,22,12,7,7,15,20,13,13,16,13,10,16,7,7,9,7,43,66,81,133,61,42
2026/01/17,6,5,2,7,5,3,3,14,17,10,8,10,12,7,403,222,156,109,83,60,40,32,36,29
2026/01/18,20,22,15,8,11,1,7,13,8,19,15,9,7,14,9,4,10,12,8,10,9,10,5,10
2026/01/19,6,7,3,0,0,0,9,3,2,4,5,3,8,4,4,1,6,3,139,86,61,60,49,27
2026/01/20,27,13,4,4,4,6,6,13,5,4,9,6,12,2,4,1,4,4,4,7,10,9,11,8
2026/01/21,3,0,2,1,0,0,0,4,4,6,4,2,11,2,3,2,4,2,4,2,3,3,16,8
2026/01/22,5,6,2,2,0,0,2,4,3,4,2,2,42,16,20,14,10,18,31,34,32,21,39,38
2026/01/23,17,7,2,5,3,2,4,12,12,3,2,3,6,3,2,4,3,78,64,32,35,21,8,15
2026/01/24,6,3,3,0,0,1,5,1,1,9,4,3,7,10,3,7,5,1,0,0,0,0,0,0
