YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,143,444,428,226
2026/01/08,196,77,51,21,31,27,31,44,42,42,98,57,72,50,24,26,38,37,30,33,51,39,42,369
2026/01/09,416,77,40,18,21,33,39,52,36,26,24,21,24,22,20,28,25,85,293,88,95,46,94,75
2026/01/10,55,16,22,9,7,5,10,8,18,17,104,46,48,36,19,27,23,26,53,28,23,25,36,18
2026/01/11,19,10,4,4,5,4,6,12,10,18,186,79,48,61,93,115,37,30,31,31,33,36,26,40
2026/01/12,722,239,330,107,134,147,47,28,49,36,128,101,75,77,30,20,59,47,68,48,40,45,44,42
2026/01/13,22,19,6,2,12,8,8,9,11,6,103,46,61,26,24,12,20,14,24,9,24,17,20,20
2026/01/14,16,7,9,4,5,0,1,8,4,4,67,36,61,465,458,410,244,230,206,191,114,96,80,46
2026/01/15,56,30,12,8,8,4,21,29,17,28,77,45,70,41,26,19,17,28,28,36,77,65,65,428
2026/01/16,915,564,169,110,81,141,242,309,208,134,250,427,570,234,156,178,100,117,274,193,168,174,197,236
2026/01/17,19,32,20,44,63,26,55,51,75,60,230,138,113,73,136,75,68,56,38,48,47,33,42,32
2026/01/18,18,20,14,3,10,4,8,9,8,16,123,64,45,44,19,15,20,14,17,19,14,18,6,14
2026/01/19,10,22,8,6,4,1,5,11,16,6,6,13,192,132,64,62,47,128,96,74,52,46,27,23
2026/01/20,26,9,4,5,8,5,3,10,102,29,25,32,76,28,26,14,11,19,12,15,25,28,12,12
2026/01/21,7,5,7,1,1,0,8,4,101,40,45,21,760,203,162,135,108,102,78,58,73,61,69,138
2026/01/22,513,202,74,51,62,122,169,158,184,98,96,140,203,104,45,57,57,52,60,58,59,45,47,493
2026/01/23,582,324,45,40,51,62,111,229,502,294,292,263,382,211,104,89,55,80,259,129,158,246,173,175
2026/01/24,113,43,23,17,19,33,28,45,127,71,68,53,29,29,29,12,274,146,107,66,70,56,47,39
2026/01/25,35,32,15,32,40,11,9,8,48,45,42,30,32,20,20,13,22,18,13,17,35,37,65,37
2026/01/26,17,17,5,3,0,4,4,7,81,30,36,17,31,17,9,11,13,159,547,362,231,137,104,84
2026/01/27,44,35,14,9,12,17,13,31,278,264,282,183,378,156,126,85,74,70,283,227,213,161,652,272
2026/01/28,201,110,65,37,42,44,57,99,255,160,98,80,110,86,70,108,155,160,398,243,233,208,477,600
2026/01/29,650,263,129,80,107,164,217,297,325,235,564,433,578,303,454,473,664,1366,1036,572,463,864,1132,1789
2026/01/30,1323,800,291,240,217,300,542,884,793,534,461,346,537,336,264,344,297,210,328,330,421,286,264,264
2026/01/31,125,86,67,48,33,32,51,58,91,70,114,91,74,79,58,49,41,31,33,38,25,29,40,36
2026/02/01,28,25,24,13,5,2,4,13,15,103,308,154,103,77,71,48,37,46,49,49,44,48,36,19
2026/02/02,16,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
