YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,25,15,37,307
2026/01/08,329,111,51,23,21,34,53,67,50,43,37,79,46,17,21,12,18,46,36,37,41,47,47,31
2026/01/09,26,6,8,5,4,4,13,13,10,14,9,9,10,15,10,10,7,9,5,10,13,23,19,20
2026/01/10,14,12,6,3,8,2,4,4,11,9,8,12,8,12,14,17,7,11,14,15,14,10,31,15
2026/01/11,18,7,7,5,6,2,1,6,4,7,7,11,7,13,6,13,11,12,7,20,6,15,10,11
2026/01/12,5,12,5,5,2,1,6,8,5,7,8,7,11,14,12,13,9,6,18,10,18,29,20,17
2026/01/13,12,10,4,0,2,1,4,5,12,15,7,12,12,2,7,10,5,10,14,10,39,15,17,31
2026/01/14,7,8,8,0,0,5,4,8,14,36,53,219,222,145,58,49,40,28,37,43,38,405,1117,386
2026/01/15,303,345,114,54,59,79,166,185,165,98,133,127,127,54,56,64,44,305,287,233,173,105,136,138
2026/01/16,44,47,33,17,5,12,11,28,31,30,40,93,91,74,58,58,48,72,54,32,38,35,50,41
2026/01/17,10,6,2,11,11,13,17,31,21,21,26,38,45,32,23,14,24,31,34,22,24,31,35,16
2026/01/18,15,6,8,2,4,2,6,9,19,19,27,14,23,13,12,7,25,11,19,14,16,18,14,13
2026/01/19,15,17,5,1,0,5,4,11,4,13,11,10,21,10,9,11,8,9,21,17,22,22,30,10
2026/01/20,5,8,5,2,4,8,17,10,10,13,13,8,19,12,11,14,9,24,19,33,60,77,40,35
2026/01/21,23,8,6,5,3,8,14,11,25,22,26,25,36,12,21,165,323,360,331,270,206,192,217,113
2026/01/22,65,26,31,25,11,27,24,52,51,41,196,188,251,135,159,218,122,143,613,557,311,226,220,238
2026/01/23,137,53,23,21,16,15,32,49,37,73,103,232,151,95,65,72,173,358,232,227,212,370,273,320
2026/01/24,130,55,46,16,19,29,28,50,53,65,66,57,48,28,33,41,124,194,169,220,157,117,94,93
2026/01/25,57,54,38,17,32,18,21,17,33,32,86,33,30,39,81,74,55,80,97,63,52,79,368,347
2026/01/26,130,106,45,35,35,24,36,44,54,56,54,50,85,53,35,43,59,68,102,133,137,163,122,75
2026/01/27,79,26,33,10,10,11,29,61,151,98,91,85,90,57,48,34,35,45,45,46,59,46,47,29
2026/01/28,17,21,12,6,6,8,9,16,21,13,20,11,26,23,15,31,15,58,228,204,211,106,126,96
2026/01/29,60,34,15,12,20,17,22,63,63,61,53,61,65,151,48,44,109,59,37,44,29,46,63,51
2026/01/30,44,32,17,11,9,14,16,25,22,10,105,21,11,4,23,27,40,90,455,444,265,165,133,86
2026/01/31,47,28,30,17,15,11,10,25,24,57,65,88,82,72,77,141,61,50,137,262,232,189,144,132
2026/02/01,85,78,39,13,23,18,33,44,49,65,59,76,61,73,66,45,41,81,64,57,49,61,39,21
2026/02/02,19,17,6,15,8,2,5,11,12,20,44,39,81,41,34,36,37,32,40,24,28,51,48,69
2026/02/03,40,25,10,7,14,7,16,17,29,21,13,28,26,17,21,20,19,23,23,15,33,25,29,45
2026/02/04,37,16,10,9,15,6,9,9,10,5,14,13,13,11,12,13,7,15,14,16,27,21,42,13
2026/02/05,15,11,15,6,3,7,4,11,8,12,7,15,46,54,58,61,53,44,60,77,77,80,42,54
2026/02/06,26,17,11,5,6,8,11,23,23,16,21,20,19,14,15,20,22,11,43,34,27,30,23,24
2026/02/07,25,11,7,11,2,3,5,11,8,8,14,8,28,18,16,30,24,14,26,27,10,14,10,10
2026/02/08,12,5,6,12,3,6,3,5,10,14,47,52,28,21,19,15,22,17,19,18,14,15,14,10
2026/02/09,16,5,12,6,7,3,9,6,7,9,180,150,228,115,56,87,60,116,113,139,501,671,355,269
2026/02/10,118,94,44,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
