YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,5,5,9,9
2026/01/08,26,12,4,2,1,0,7,4,7,5,3,5,5,4,5,0,6,8,11,7,6,10,10,16
2026/01/09,21,4,0,1,1,0,9,8,6,4,2,0,11,5,3,3,4,6,6,2,8,9,6,7
2026/01/10,23,7,1,1,0,1,2,6,6,9,7,2,6,7,3,5,3,5,1,3,3,5,2,3
2026/01/11,0,1,1,1,2,1,1,0,1,2,18,7,6,8,4,4,3,3,2,7,3,13,2,3
2026/01/12,6,15,1,3,0,2,2,1,1,5,20,12,61,33,17,7,17,5,10,6,10,292,101,133
2026/01/13,301,56,27,10,6,30,49,43,37,23,19,13,18,9,12,12,6,6,11,15,45,23,21,6
2026/01/14,9,6,3,2,1,2,3,33,21,19,11,11,17,22,26,24,32,38,35,65,55,50,379,175
2026/01/15,487,124,61,37,27,59,81,113,102,116,93,91,113,62,45,43,54,40,60,41,37,47,53,73
2026/01/16,37,14,9,8,4,9,7,17,16,18,14,21,10,6,98,110,48,63,50,34,45,30,19,17
2026/01/17,3,3,2,6,3,5,6,9,6,10,4,7,5,6,7,7,2,7,3,6,5,8,3,4
2026/01/18,2,5,1,1,1,0,3,2,1,3,4,5,1,2,1,4,6,4,6,7,178,25,13,9
2026/01/19,8,23,8,1,2,1,7,2,6,5,14,6,15,3,4,3,4,10,8,59,260,181,114,96
2026/01/20,304,85,34,21,30,44,59,55,40,43,29,32,34,18,22,10,9,14,45,47,39,37,27,24
2026/01/21,17,4,5,2,2,0,2,8,6,10,6,7,6,3,3,1,6,7,4,8,31,31,25,17
2026/01/22,13,10,4,1,2,3,4,5,13,8,8,4,17,5,12,8,7,7,10,14,37,38,32,36
2026/01/23,10,3,4,6,3,2,6,7,6,5,4,2,78,109,56,60,37,32,256,233,104,116,122,96
2026/01/24,78,34,29,6,13,16,17,31,20,38,12,26,17,15,26,16,20,22,22,12,17,32,19,22
2026/01/25,22,12,5,15,0,4,3,11,17,15,69,87,51,35,22,18,18,18,27,7,14,21,5,15
2026/01/26,11,10,3,2,0,1,3,9,5,6,2,4,1,5,8,2,3,5,7,21,78,53,188,238
2026/01/27,187,102,26,24,22,29,54,36,38,32,17,19,28,13,9,4,11,12,7,15,19,22,16,26
2026/01/28,13,3,3,7,6,2,4,5,8,6,1,5,129,59,24,21,19,20,16,17,16,24,31,35
2026/01/29,20,12,2,4,3,5,4,14,16,12,8,9,14,13,7,9,9,11,7,7,8,2,6,10
2026/01/30,5,3,0,4,1,2,0,1,4,3,2,0,4,3,5,3,2,3,6,11,13,8,7,11
2026/01/31,4,0,1,1,4,1,1,1,4,4,2,6,7,4,2,3,3,6,1,4,0,2,4,5
2026/02/01,5,7,4,3,1,2,2,2,5,3,0,4,15,13,9,4,12,12,4,8,15,2,7,0
2026/02/02,3,9,7,0,1,0,0,1,2,2,1,1,8,2,1,4,3,1,8,57,90,307,114,113
2026/02/03,161,49,33,15,14,18,21,27,15,12,10,16,20,14,9,17,15,17,18,14,8,12,6,10
2026/02/04,4,5,2,2,0,2,3,7,1,4,4,17,24,10,8,8,8,10,11,10,9,7,119,273
2026/02/05,71,44,15,14,18,24,42,39,21,9,15,18,16,13,9,24,22,17,35,26,30,14,27,13
2026/02/06,6,3,1,4,0,3,4,4,5,6,4,4,1,2,1,7,3,2,30,19,18,20,18,11
2026/02/07,16,6,1,6,2,2,3,5,9,3,6,14,13,8,12,10,14,15,13,4,0,0,0,0
