YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2026/01/08,5,0,1,0,0,1,0,4,1,1,1,3,3,113,204,114,73,63,57,30,31,34,41,17
2026/01/09,14,10,7,3,3,5,10,5,4,8,7,6,11,7,5,90,246,150,101,64,50,30,33,23
2026/01/10,17,11,10,11,4,7,2,5,7,8,13,5,17,6,4,9,7,5,9,12,9,6,5,6
2026/01/11,12,2,5,0,0,1,0,4,6,5,12,231,186,72,66,43,46,36,22,21,10,15,5,19
2026/01/12,15,8,10,18,4,2,3,5,5,4,4,4,5,3,5,3,1,7,343,137,86,45,46,25
2026/01/13,26,12,6,6,2,5,7,13,5,10,7,5,5,4,8,3,3,3,10,8,17,16,7,7
2026/01/14,10,4,3,1,1,1,2,0,10,1,1,5,3,1,6,3,9,5,4,3,2,5,7,7
2026/01/15,35,13,8,8,6,7,2,10,3,14,4,4,12,10,4,5,9,356,180,111,82,70,47,43
2026/01/16,44,16,8,8,1,8,10,16,6,8,11,9,8,9,3,8,4,8,10,7,4,4,7,3
2026/01/17,6,3,0,2,0,0,2,12,3,5,2,5,20,315,108,72,53,43,84,123,86,98,67,42
2026/01/18,26,14,11,5,8,7,5,8,15,11,16,12,11,13,10,8,9,7,20,4,13,6,6,7
2026/01/19,6,4,1,3,0,3,1,1,3,4,4,3,324,103,71,45,43,26,175,103,72,42,41,23
2026/01/20,29,11,8,5,4,8,5,9,4,9,3,3,6,15,13,7,275,151,109,64,57,55,34,42
2026/01/21,22,8,3,4,5,7,2,11,8,10,3,2,13,3,8,2,9,6,10,7,5,4,10,4
2026/01/22,7,3,2,1,3,3,2,1,2,2,7,3,10,4,7,8,12,10,7,8,12,11,16,14
2026/01/23,7,1,0,10,1,3,2,3,5,2,5,1,7,4,5,7,259,155,90,55,54,36,28,23
2026/01/24,12,9,9,3,3,2,4,5,8,6,8,8,9,14,5,12,7,7,6,7,14,9,8,7
2026/01/25,4,3,1,2,2,2,5,1,2,1,3,171,229,99,75,49,42,23,30,19,46,39,17,34
2026/01/26,405,172,55,34,35,19,40,73,58,43,44,50,73,64,60,65,44,566,429,257,176,153,154,93
2026/01/27,88,63,20,10,14,18,28,31,29,22,31,31,29,38,30,17,18,283,358,187,155,90,75,67
2026/01/28,53,32,32,25,14,22,24,32,30,25,26,20,476,116,84,62,48,45,60,54,39,26,34,26
2026/01/29,36,13,12,6,2,6,8,10,8,10,8,17,435,136,88,58,70,48,54,60,35,36,47,65
2026/01/30,38,12,10,7,3,8,9,5,13,11,12,5,10,16,9,8,11,18,10,8,15,11,13,15
2026/01/31,12,9,3,2,4,1,4,11,2,7,5,3,3,379,163,108,74,57,51,46,25,29,32,34
2026/02/01,31,21,13,5,9,6,8,15,11,18,12,25,30,19,18,12,12,16,6,14,10,491,166,68
2026/02/02,42,27,19,16,12,13,11,19,20,12,10,4,16,17,6,4,9,25,28,30,34,22,45,23
2026/02/03,18,9,3,1,6,3,2,7,11,8,3,6,287,215,114,92,83,73,67,39,44,45,29,28
2026/02/04,30,16,10,8,4,4,6,10,8,10,10,15,12,7,14,5,14,19,12,11,9,16,14,11
2026/02/05,27,6,1,2,2,2,7,12,6,7,4,243,272,95,60,56,48,47,92,57,95,107,65,51
2026/02/06,46,15,40,12,7,8,13,37,26,22,15,14,26,13,263,233,125,125,124,81,68,52,55,40
2026/02/07,33,20,8,6,5,8,5,13,16,12,8,9,17,18,18,12,33,35,25,27,325,309,157,100
2026/02/08,49,38,27,16,8,14,15,20,19,34,43,38,28,25,22,17,21,19,58,38,32,25,26,26
2026/02/09,15,25,10,9,10,2,10,21,5,8,7,13,15,383,150,129,69,81,80,83,59,61,66,46
2026/02/10,44,24,17,11,9,11,14,19,23,15,8,14,26,11,17,24,8,12,9,22,39,18,35,28
2026/02/11,17,10,6,5,3,3,4,11,6,13,11,13,9,3,7,18,16,11,18,42,40,29,26,25
2026/02/12,15,10,12,4,8,3,10,11,11,6,11,178,369,115,76,100,54,78,100,44,59,65,75,32
2026/02/13,47,19,10,11,2,13,20,17,17,8,10,15,13,9,8,33,16,18,20,18,13,15,16,22
2026/02/14,14,9,6,6,5,13,3,5,4,5,7,13,12,12,28,20,18,17,38,32,372,207,107,60
2026/02/15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
