YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,3,2
2026/01/08,2,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,2,2,1,6,256,135,63
2026/01/09,31,12,10,5,6,5,14,12,5,6,4,5,8,10,7,6,2,5,5,4,4,10,8,8
2026/01/10,3,0,1,0,0,0,0,2,0,0,4,2,5,4,3,0,1,2,2,1,4,2,0,1
2026/01/11,0,2,0,0,0,0,2,0,0,2,2,2,1,1,1,0,1,1,0,2,1,0,1,0
2026/01/12,1,8,4,1,0,1,0,0,1,1,6,1,2,4,1,1,1,0,1,1,3,128,194,72
2026/01/13,32,23,11,9,8,18,15,17,15,9,7,7,12,7,7,3,4,2,9,8,11,9,10,4
2026/01/14,2,3,1,3,2,1,2,2,0,2,2,7,0,2,5,0,2,2,2,1,3,5,5,4
2026/01/15,6,1,3,1,0,0,0,11,3,6,0,1,5,7,3,4,6,7,285,115,61,44,30,28
2026/01/16,19,13,7,6,5,3,3,8,6,8,13,8,7,2,7,6,2,5,242,92,56,45,23,20
2026/01/17,2,3,2,5,4,2,4,10,6,9,6,5,5,2,1,5,5,7,4,5,3,3,1,2
2026/01/18,5,1,3,0,2,0,1,2,4,3,3,1,1,2,3,2,3,2,4,3,4,8,5,3
2026/01/19,4,3,0,0,0,0,0,2,0,1,3,3,2,1,0,0,2,0,31,35,24,24,16,9
2026/01/20,9,4,1,1,1,2,2,4,3,3,1,1,2,0,2,0,4,2,2,3,5,5,2,2
2026/01/21,5,0,1,1,1,0,2,1,2,4,8,2,3,0,0,2,0,0,0,0,1,1,6,3
2026/01/22,1,3,1,1,1,0,0,2,3,2,5,0,6,1,1,8,5,4,7,3,9,4,2,9
2026/01/23,7,1,2,2,1,1,4,6,3,2,3,1,2,2,1,0,0,1,1,0,2,3,4,2
2026/01/24,0,0,1,3,0,0,0,1,0,1,1,1,3,4,1,3,2,4,5,0,263,117,71,29
2026/01/25,14,27,11,6,5,13,7,10,9,8,7,5,9,10,1,5,7,5,6,2,4,11,5,4
2026/01/26,1,3,0,0,1,0,1,2,5,4,1,2,1,1,0,0,0,1,3,4,4,276,125,53
2026/01/27,28,21,9,9,4,7,8,14,11,7,5,14,11,8,6,1,3,11,6,2,10,11,2,6
2026/01/28,4,2,5,9,3,1,0,2,2,1,4,4,2,2,3,4,2,9,6,7,5,6,5,4
2026/01/29,3,6,4,0,1,5,0,3,1,6,4,5,4,0,0,3,6,1,3,4,8,4,5,3
2026/01/30,4,0,0,0,1,1,0,3,0,1,1,3,8,7,4,3,0,4,20,12,296,159,81,54
2026/01/31,36,16,11,8,9,7,5,11,12,8,18,12,9,9,9,3,8,7,12,5,3,9,8,2
2026/02/01,6,2,1,1,1,1,0,3,3,3,5,2,1,4,2,2,2,279,135,190,146,91,81,33
2026/02/02,30,24,13,13,9,7,10,10,14,13,10,20,37,12,18,5,10,7,11,14,11,14,5,5
2026/02/03,3,2,1,4,3,2,3,7,12,6,2,4,3,3,2,3,3,6,3,2,10,330,106,59
2026/02/04,30,15,9,4,6,7,8,13,13,8,8,7,12,8,7,3,6,6,5,5,6,9,8,3
2026/02/05,1,1,2,0,0,1,2,5,5,0,2,1,2,3,3,15,4,6,6,13,15,9,8,11
2026/02/06,5,0,2,3,0,4,0,4,3,1,0,1,2,0,2,5,4,1,6,1,2,4,1,0
2026/02/07,1,0,0,0,0,2,0,2,4,2,1,2,4,5,2,1,4,2,2,4,3,2,0,2
2026/02/08,1,0,0,0,0,0,0,1,1,1,1,2,3,4,1,3,5,1,12,5,5,4,2,1
2026/02/09,0,1,0,0,0,1,2,2,0,0,0,2,2,0,0,2,3,0,1,2,1,1,4,3
2026/02/10,1,1,0,1,0,0,1,3,2,2,0,1,3,1,1,1,1,3,0,3,11,26,16,12
2026/02/11,5,4,1,0,2,1,2,2,3,4,1,3,2,1,2,8,4,2,4,37,16,16,8,9
2026/02/12,3,4,3,1,2,1,1,5,4,2,3,8,10,6,5,9,0,14,3,12,26,14,12,10
2026/02/13,6,2,1,1,1,2,4,3,1,1,2,1,2,0,2,2,2,2,1,3,4,35,264,82
2026/02/14,29,21,12,11,16,8,10,14,19,11,15,19,20,12,6,10,7,3,0,0,0,0,0,0
