YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,10,6,9,3
2026/01/08,6,1,1,1,0,0,0,1,3,2,0,1,3,9,0,1,1,3,8,4,6,1,5,1
2026/01/09,1,1,1,0,0,0,3,0,2,0,3,0,2,2,0,1,1,2,3,5,6,12,3,5
2026/01/10,7,1,2,2,3,3,0,3,11,5,3,1,4,3,2,2,4,1,0,1,22,14,4,8
2026/01/11,3,4,2,1,1,1,3,0,4,6,11,1,7,5,3,1,1,20,7,11,5,5,7,9
2026/01/12,5,3,3,5,5,5,0,0,3,4,4,5,330,168,115,73,56,50,35,37,23,22,21,14
2026/01/13,16,8,6,2,2,4,8,10,4,8,5,5,6,1,1,2,5,0,4,4,4,2,4,5
2026/01/14,2,2,4,1,0,0,0,1,0,1,1,5,4,0,7,2,4,2,8,5,1,4,6,2
2026/01/15,9,5,2,0,0,0,1,5,1,2,36,244,170,49,38,26,28,26,20,23,23,18,16,7
2026/01/16,15,4,5,5,4,7,5,2,5,5,1,2,7,5,2,5,32,52,24,26,19,8,12,12
2026/01/17,2,1,2,5,5,0,2,5,1,2,0,0,2,1,0,3,2,3,3,0,3,2,8,16
2026/01/18,4,8,2,2,2,1,1,0,4,6,11,6,2,2,2,2,2,2,2,2,3,3,1,1
2026/01/19,0,2,0,1,1,0,0,1,0,1,0,0,1,0,0,0,33,56,31,15,16,16,14,9
2026/01/20,10,4,1,2,3,4,3,3,2,3,3,2,3,3,0,3,1,4,3,1,3,1,0,4
2026/01/21,1,2,2,1,0,1,0,0,2,2,1,0,2,0,2,4,1,5,5,3,0,3,3,1
2026/01/22,1,1,1,0,0,2,1,3,1,3,2,1,1,1,2,1,2,2,1,2,20,33,18,19
2026/01/23,3,6,1,1,4,2,2,4,2,3,5,1,5,2,1,0,3,3,4,0,1,0,1,1
2026/01/24,0,0,0,2,0,0,0,1,2,0,0,4,2,3,1,3,0,0,2,2,3,229,80,38
2026/01/25,26,25,8,8,6,2,1,5,9,4,20,4,8,5,3,4,4,5,5,3,15,17,9,11
2026/01/26,10,24,8,6,6,5,6,10,14,8,7,7,15,7,4,4,1,3,15,15,15,10,8,11
2026/01/27,3,5,1,5,3,4,2,4,3,2,5,2,1,5,5,18,3,10,48,49,62,40,25,11
2026/01/28,86,30,17,18,7,6,16,46,19,22,19,344,272,79,48,52,40,31,27,29,44,32,18,28
2026/01/29,18,11,10,2,8,5,3,16,12,8,5,11,10,22,15,9,7,9,12,9,7,11,6,6
2026/01/30,2,1,1,0,0,1,2,0,0,4,0,5,3,4,0,3,1,4,2,4,8,17,14,13
2026/01/31,4,2,0,1,0,0,2,2,0,4,2,2,50,72,45,32,21,23,20,16,10,9,187,97
2026/02/01,36,22,9,6,11,5,9,16,14,11,21,19,13,11,13,10,11,9,12,15,23,26,35,21
2026/02/02,10,8,4,4,3,3,2,9,7,0,2,4,5,4,7,2,6,2,8,56,38,29,29,18
2026/02/03,16,7,4,1,2,8,2,9,21,10,1,7,8,6,4,8,9,4,7,1,8,5,5,0
