YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,27,15,412,293
2026/01/08,155,63,42,22,28,30,35,42,29,30,25,27,21,22,13,16,32,26,34,30,35,35,32,25
2026/01/09,16,18,5,3,2,5,7,10,5,7,7,11,8,12,13,8,8,17,8,13,14,15,12,37
2026/01/10,33,8,9,5,3,6,10,5,14,10,13,11,11,13,9,7,13,10,7,10,10,6,8,7
2026/01/11,5,3,1,1,1,5,0,2,6,9,8,9,7,6,6,7,2,10,3,11,3,12,6,6
2026/01/12,1,11,5,2,2,1,4,3,1,3,1,3,8,2,2,0,3,2,10,524,196,104,76,54
2026/01/13,46,25,12,10,9,6,12,20,14,19,19,7,12,16,16,19,12,18,80,212,200,90,65,48
2026/01/14,134,111,54,19,24,41,63,75,128,103,111,74,133,139,64,57,37,55,53,79,71,103,84,76
2026/01/15,45,21,13,17,11,7,12,26,19,23,17,21,220,258,144,78,67,76,64,66,60,49,39,28
2026/01/16,26,16,7,10,1,11,7,12,8,19,7,99,80,66,55,69,114,124,82,59,68,54,57,394
2026/01/17,78,61,27,57,33,53,59,67,73,71,186,137,141,90,78,100,89,106,70,69,63,74,103,72
2026/01/18,63,41,34,13,22,5,25,42,43,42,29,38,63,53,47,48,42,27,31,29,62,53,43,29
2026/01/19,31,27,12,1,3,9,6,18,10,12,15,24,83,51,29,65,68,81,89,80,68,65,55,35
2026/01/20,25,23,9,7,9,9,19,18,12,17,16,9,17,9,9,13,12,21,20,141,195,150,102,69
2026/01/21,64,22,15,6,8,14,30,25,29,33,35,32,43,21,41,179,326,179,183,250,667,1156,899,794
2026/01/22,604,251,145,136,92,97,164,263,229,120,127,94,192,103,93,138,110,127,109,121,103,89,91,73
2026/01/23,50,20,18,6,5,14,17,34,35,62,86,116,552,300,180,184,159,256,268,230,299,287,276,207
2026/01/24,175,75,45,26,22,47,34,51,53,74,58,68,178,101,65,62,255,292,248,256,771,337,258,232
2026/01/25,126,95,66,33,35,29,38,50,64,47,32,41,51,59,85,266,372,176,205,123,119,104,73,95
2026/01/26,56,31,24,11,7,18,24,29,24,30,31,39,38,33,24,24,33,179,200,146,113,147,136,74
2026/01/27,31,33,22,8,10,13,15,60,137,102,92,77,97,55,80,49,47,37,41,38,50,44,36,36
2026/01/28,20,20,13,12,8,7,8,27,24,21,20,15,144,70,38,160,304,320,249,193,245,158,188,149
2026/01/29,95,51,34,20,31,25,28,59,71,48,39,45,72,35,45,31,39,41,50,72,104,86,68,66
2026/01/30,43,31,17,10,6,12,21,33,39,17,15,29,31,23,21,15,38,101,88,61,44,38,31,24
2026/01/31,25,10,15,5,4,6,4,13,10,10,9,15,14,15,12,7,12,11,149,314,183,219,145,119
2026/02/01,88,38,20,14,20,9,21,22,34,40,24,33,23,26,28,14,27,49,40,26,19,22,27,10
2026/02/02,10,13,4,8,2,2,4,7,7,17,43,36,72,37,40,33,30,24,43,26,40,38,37,41
2026/02/03,34,25,4,4,5,3,7,11,13,20,10,11,13,12,9,12,11,10,12,17,10,7,14,479
2026/02/04,158,59,37,30,24,38,53,55,35,36,33,24,31,20,23,21,17,36,25,0,0,0,0,0
