YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,306,188,97
2026/01/08,64,18,12,5,9,7,13,24,18,12,6,2,7,5,4,3,9,9,29,14,8,7,11,14
2026/01/09,1,3,3,1,1,2,2,1,2,2,9,6,6,5,5,3,0,4,7,7,9,6,7,5
2026/01/10,3,2,1,1,0,2,0,5,2,3,3,1,3,2,6,2,0,3,3,3,4,5,3,1
2026/01/11,3,2,0,0,0,3,3,3,1,0,2,4,2,1,2,2,1,3,14,4,1,5,3,3
2026/01/12,1,3,0,1,0,1,2,0,2,2,4,0,1,2,0,0,1,1,5,2,6,28,18,17
2026/01/13,19,4,3,2,3,1,8,3,3,6,7,6,2,1,3,3,7,7,12,11,11,8,7,9
2026/01/14,0,3,3,0,0,0,0,3,2,1,2,2,2,3,1,0,0,1,1,1,2,4,0,3
2026/01/15,1,4,2,0,1,1,2,1,3,2,0,4,6,1,2,3,2,9,352,133,82,51,36,26
2026/01/16,27,15,7,5,4,5,8,10,8,6,6,4,3,4,7,5,5,3,3,4,6,2,5,5
2026/01/17,0,0,0,1,0,1,1,7,1,4,0,3,3,1,0,3,1,3,1,2,2,3,17,10
2026/01/18,26,21,11,6,2,2,12,23,13,13,4,7,9,6,5,4,6,6,6,5,5,6,7,2
2026/01/19,4,4,3,0,0,0,2,2,2,1,1,1,2,0,2,1,1,2,1,3,2,7,2,3
2026/01/20,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,3,1,5,5,4,1
2026/01/21,1,3,3,0,0,0,1,2,0,0,13,12,8,1,3,4,27,22,16,5,10,10,11,6
2026/01/22,6,1,4,0,0,1,1,3,3,2,1,2,4,4,5,3,6,7,12,8,11,6,12,15
2026/01/23,6,4,0,1,1,1,2,2,4,0,3,5,6,4,4,0,1,1,1,2,2,4,14,9
2026/01/24,14,6,3,3,1,3,7,5,6,2,3,1,6,1,2,3,1,2,5,20,10,8,10,4
2026/01/25,3,6,1,0,1,1,2,2,2,1,3,4,2,6,1,2,1,5,6,5,6,12,2,3
2026/01/26,4,1,2,0,0,0,1,1,0,4,3,1,4,0,2,0,1,1,1,11,8,4,6,4
2026/01/27,2,2,1,2,1,0,0,3,3,3,2,5,2,1,0,2,4,8,358,147,98,45,57,28
2026/01/28,26,10,5,6,4,5,8,9,8,10,21,5,18,16,8,10,6,8,182,162,98,402,152,89
2026/01/29,50,28,15,9,11,12,19,17,25,22,12,20,20,19,18,16,17,22,15,24,16,15,22,17
2026/01/30,15,9,6,1,2,11,6,9,3,5,4,4,4,4,5,2,4,6,5,7,7,3,6,3
2026/01/31,3,2,1,1,1,1,0,2,1,2,0,2,1,4,21,24,33,56,116,210,157,74,46,52
2026/02/01,23,21,8,5,7,6,3,8,9,6,3,10,9,15,7,7,7,13,3,5,5,7,4,3
2026/02/02,4,7,1,0,3,0,1,1,0,2,3,3,4,0,0,3,2,2,0,0,4,4,3,3
2026/02/03,2,1,2,0,1,0,1,2,4,1,2,3,1,1,1,1,1,2,1,9,2,5,2,2
2026/02/04,2,4,1,0,1,1,0,4,1,2,3,3,5,4,4,3,5,4,4,4,3,4,8,10
2026/02/05,4,1,2,1,1,3,3,1,3,2,2,1,3,1,5,10,10,12,5,14,27,4,0,0
