YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2026/01/10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,0,0
2026/01/11,0,0,0,0,0,1,0,2,1,4,1,2,2,2,0,0,0,0,0,0,1,4,1,0
2026/01/12,0,0,0,0,0,0,0,1,1,0,4,2,0,1,0,2,0,2,0,1,0,0,0,3
2026/01/13,1,0,0,0,0,1,0,3,0,2,2,0,1,1,0,0,2,0,2,1,0,0,0,2
2026/01/14,0,0,0,0,0,1,7,0,3,2,0,1,3,3,2,1,1,0,1,1,2,0,2,0
2026/01/15,0,0,0,0,0,2,0,0,4,2,6,1,4,0,0,0,0,0,0,1,1,1,1,0
2026/01/16,0,0,0,0,0,1,0,1,4,2,0,0,0,1,0,0,1,2,0,1,0,1,2,0
2026/01/17,0,0,0,0,1,0,0,1,1,3,2,2,0,0,3,0,1,0,0,0,0,0,0,2
2026/01/18,0,0,0,0,0,0,0,0,2,1,1,1,3,1,1,0,0,0,0,0,0,2,2,1
2026/01/19,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2026/01/20,0,0,1,0,0,1,0,0,0,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
2026/01/21,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2026/01/22,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,1
2026/01/23,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0
2026/01/24,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026/01/25,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12,40,37,25,14
2026/01/26,6,3,0,0,0,2,3,6,5,2,4,5,3,1,0,1,0,1,1,1,0,1,0,4
2026/01/27,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0
2026/01/28,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0
2026/01/29,1,1,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0
2026/01/30,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
2026/01/31,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2026/02/01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2026/02/02,0,0,0,0,0,1,0,1,0,0,1,0,3,0,0,0,0,2,0,0,1,3,0,4
2026/02/03,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2026/02/04,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
2026/02/05,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,3,1,0,1,1,1
2026/02/06,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0
2026/02/07,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2026/02/08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2026/02/09,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,0,0,2,1
2026/02/10,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,4,2
2026/02/11,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,4,2
2026/02/12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0
2026/02/13,2,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2026/02/14,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0
2026/02/15,0,1,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,6,0,1,3,3,0,1
2026/02/16,1,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0
2026/02/17,0,0,0,0,1,0,0,2,0,2,1,3,2,0,0,1,0,0,0,1,0,0,1,1
2026/02/18,0,9,0,1,0,0,0,0,0,2,0,1,2,0,6,10,0,1,2,2,0,1,1,1
2026/02/19,3,0,3,0,0,0,0,0,0,2,1,0,2,2,0,0,0,0,0,5,6,0,0,1
2026/02/20,1,0,0,0,0,0,0,0,5,5,3,1,1,0,1,4,1,1,6,5,9,3,2,3
2026/02/21,0,0,0,0,0,1,0,1,1,5,3,3,0,0,0,1,0,4,7,2,3,3,6,10
2026/02/22,3,2,0,0,0,2,2,2,1,2,2,4,2,1,1,2,2,1,1,3,3,7,4,3
2026/02/23,4,4,0,0,2,0,0,2,0,8,12,4,4,0,4,3,3,2,8,0,9,5,6,5
2026/02/24,6,0,0,1,0,0,0,0,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
