YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,68,31,47,37,15
2026/01/08,40,15,6,6,6,8,10,10,10,11,11,11,70,63,32,19,22,54,36,26,37,42,36,19
2026/01/09,12,13,4,7,2,1,5,6,5,4,2,5,13,4,5,10,4,5,7,8,5,8,11,3
2026/01/10,6,3,1,4,1,0,5,1,3,6,1,2,5,7,4,4,3,4,1,16,12,17,7,6
2026/01/11,7,4,3,1,0,1,4,3,5,2,2,2,0,3,4,2,82,114,63,36,19,29,17,16
2026/01/12,10,10,4,4,0,3,7,6,2,8,7,4,6,0,10,5,3,5,5,3,8,7,7,4
2026/01/13,3,3,2,1,0,2,2,9,5,1,1,4,2,1,1,4,1,3,5,142,69,30,13,14
2026/01/14,7,9,4,0,1,3,2,4,2,4,4,2,4,2,4,3,6,1,1,1,5,3,8,19
2026/01/15,19,8,5,2,1,9,4,4,7,0,7,9,12,6,9,4,13,11,12,11,15,21,10,13
2026/01/16,6,4,1,0,2,2,1,6,5,10,7,4,8,6,2,4,3,1,12,22,24,26,11,9
2026/01/17,3,3,1,2,2,2,6,3,6,3,3,2,2,3,4,3,1,14,7,8,14,26,28,9
2026/01/18,9,0,2,2,0,0,1,3,14,2,3,1,2,2,4,4,8,6,354,549,335,214,116,73
2026/01/19,53,34,10,5,13,14,26,43,73,25,30,24,39,16,14,15,6,14,20,19,15,14,19,10
2026/01/20,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
