YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026/01/08,2,1,0,0,0,0,0,0,0,0,2,1,1,0,1,0,6,9,5,6,4,3,7,3
2026/01/09,3,5,1,1,1,0,1,2,6,0,1,2,1,1,0,1,2,1,3,0,1,0,1,1
2026/01/10,1,0,2,0,3,0,1,0,0,0,1,1,0,1,3,6,2,6,4,6,5,2,0,0
2026/01/11,1,1,0,0,0,0,1,1,2,2,2,2,4,1,4,3,4,5,2,2,1,1,1,2
2026/01/12,2,4,3,1,1,0,1,2,0,1,1,3,2,1,1,0,1,0,3,1,2,2,0,0
2026/01/13,0,0,0,0,0,1,1,1,1,2,1,2,2,1,1,1,1,2,2,0,4,1,2,5
2026/01/14,1,0,1,0,0,0,1,0,1,1,1,1,3,6,1,2,0,1,0,0,2,1,1,0
2026/01/15,1,0,0,0,0,0,0,3,1,0,0,0,0,2,2,3,1,2,6,7,5,3,5,6
2026/01/16,3,2,0,0,2,0,1,1,1,2,2,2,5,0,0,1,1,0,2,1,1,1,2,1
2026/01/17,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,2,2
2026/01/18,0,1,0,0,1,0,0,2,2,0,0,0,1,0,3,2,1,0,0,2,5,4,2,3
2026/01/19,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,2,1,311,147,80,35
2026/01/20,22,11,11,2,1,4,11,11,9,6,6,3,4,8,4,4,2,8,3,5,5,4,4,2
2026/01/21,4,1,2,2,1,2,2,0,4,0,0,0,4,0,0,3,1,3,3,2,57,323,113,45
2026/01/22,34,20,8,2,6,9,14,9,12,7,8,5,7,2,5,6,10,9,22,17,18,5,7,2
2026/01/23,10,2,0,2,1,0,4,3,5,3,2,1,1,5,1,2,1,2,6,3,4,9,3,5
2026/01/24,0,4,0,2,0,0,0,0,1,2,3,3,4,3,3,3,5,8,4,4,4,2,3,4
2026/01/25,2,2,2,0,0,0,0,2,0,1,3,1,4,4,1,2,4,3,5,18,17,21,18,9
2026/01/26,6,6,4,6,0,0,2,1,3,5,2,4,2,2,1,0,0,0,1,0,1,320,111,49
2026/01/27,22,17,8,7,4,7,10,10,12,8,7,4,12,5,2,5,8,5,151,217,111,384,152,62
2026/01/28,52,28,10,13,3,11,14,19,21,12,5,14,17,10,10,4,9,16,13,7,14,12,10,9
2026/01/29,2,6,7,2,4,0,1,3,2,3,5,3,3,3,5,3,1,5,8,12,10,9,5,6
2026/01/30,6,1,2,2,1,2,0,2,0,0,0,1,1,1,1,1,2,1,1,1,1,12,0,3
2026/01/31,2,1,2,0,0,0,1,3,2,3,0,2,1,0,0,0,1,6,0,4,2,2,1,2
2026/02/01,4,0,2,0,0,0,2,3,2,0,2,1,1,2,87,234,93,59,54,41,24,265,171,57
2026/02/02,50,27,15,15,4,6,15,14,15,6,10,5,11,4,2,2,3,5,10,3,6,12,12,3
2026/02/03,7,4,4,3,0,1,1,3,2,1,4,0,6,2,0,2,1,2,2,7,19,10,3,6
2026/02/04,2,3,0,0,0,1,3,2,2,3,0,3,3,4,1,2,6,6,67,332,109,83,53,32
2026/02/05,19,7,10,7,5,9,14,18,8,10,9,6,10,6,5,6,8,12,31,20,14,10,12,8
2026/02/06,3,3,13,8,1,0,1,1,3,2,1,0,5,0,5,3,2,4,2,0,0,4,2,1
2026/02/07,2,0,1,5,0,1,2,0,2,0,0,0,2,0,0,0,1,3,1,2,1,2,2,1
2026/02/08,1,1,2,2,2,0,0,0,0,1,2,0,1,1,1,3,0,2,0,0,0,0,0,0
