YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2026/01/08,2,0,3,0,0,0,1,0,2,1,2,1,1,1,5,1,0,2,1,1,3,6,13,4
2026/01/09,2,2,7,0,0,1,1,1,1,0,1,1,2,1,0,0,1,1,257,99,86,55,71,61
2026/01/10,29,23,21,9,4,10,19,11,14,23,13,12,12,8,15,13,5,22,8,13,11,7,3,9
2026/01/11,8,1,0,2,0,2,4,2,3,0,1,2,4,4,3,0,1,1,1,1,1,1,1,3
2026/01/12,10,3,3,0,2,0,1,2,1,3,4,1,1,1,1,0,1,2,5,3,3,3,0,3
2026/01/13,5,0,1,0,1,0,0,0,1,0,1,2,2,2,0,2,2,2,3,0,3,2,1,2
2026/01/14,5,1,0,1,0,0,1,0,0,0,0,0,1,0,2,0,1,0,176,212,106,66,51,24
2026/01/15,15,7,7,6,4,10,13,13,15,9,10,8,11,4,3,3,5,6,3,5,16,13,8,8
2026/01/16,9,4,1,0,1,2,0,2,1,3,4,0,4,3,0,5,2,1,3,2,96,62,26,12
2026/01/17,5,5,2,4,1,4,2,16,7,2,1,8,4,5,3,1,3,4,0,2,0,1,0,1
2026/01/18,8,3,4,0,0,1,1,0,1,1,4,0,3,4,1,3,0,4,1,4,5,6,2,1
2026/01/19,4,10,6,3,2,2,1,5,6,16,16,7,7,4,1,3,2,2,1,1,5,4,4,6
2026/01/20,4,2,0,0,0,0,1,8,2,1,2,4,2,4,2,1,2,2,3,4,3,3,5,5
2026/01/21,9,0,0,3,1,0,1,5,1,2,2,0,1,2,0,2,4,4,4,2,1,1,0,0
2026/01/22,5,1,1,0,0,2,0,1,0,1,0,1,8,2,8,3,2,2,5,3,2,5,4,7
2026/01/23,4,2,0,1,1,1,0,0,1,1,1,2,0,2,2,0,0,0,4,0,0,4,2,2
2026/01/24,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,4,2,1,1,1,1,3,0,3
2026/01/25,6,8,2,0,0,0,0,3,0,1,0,2,6,2,3,3,3,1,1,2,2,6,2,1
2026/01/26,5,47,7,2,2,2,1,3,3,5,6,2,2,0,3,3,15,19,43,51,42,36,21,18
2026/01/27,17,7,3,0,2,2,11,10,7,4,3,8,8,5,2,5,3,2,2,5,4,5,5,3
2026/01/28,2,4,1,1,1,1,3,4,2,1,1,2,6,1,3,0,3,1,0,5,4,5,2,2
2026/01/29,1,2,0,0,1,0,0,7,0,1,1,1,2,0,1,11,23,27,19,346,133,94,55,52
2026/01/30,25,12,9,3,0,5,10,8,12,6,9,30,185,85,53,37,310,133,75,62,39,46,43,32
2026/01/31,21,8,9,6,1,5,5,10,6,13,12,11,10,6,3,6,9,8,4,171,75,42,27,26
2026/02/01,13,13,8,5,2,1,10,6,8,10,11,10,5,10,2,7,4,4,8,8,9,10,3,7
2026/02/02,15,409,543,123,60,100,176,232,166,104,133,126,118,40,35,34,42,45,29,27,40,37,35,28
2026/02/03,23,9,3,4,3,1,2,10,8,3,4,4,14,9,7,3,5,1,5,8,10,13,12,17
2026/02/04,14,5,6,2,2,0,4,4,8,7,12,29,53,29,35,26,349,241,154,92,73,51,42,35
2026/02/05,21,6,8,7,7,6,12,14,12,12,7,4,16,12,13,33,22,26,32,19,14,21,15,8
2026/02/06,12,4,1,1,0,0,3,2,2,2,4,2,1,1,1,4,1,5,1,1,6,26,18,8
2026/02/07,10,6,3,3,2,1,4,2,0,1,1,0,19,11,3,15,4,7,5,300,119,68,45,28
2026/02/08,15,11,7,10,6,11,5,8,7,6,15,11,8,9,12,6,8,97,84,60,26,33,17,15
2026/02/09,8,10,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
