YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0
2026/01/08,3,0,0,0,1,0,0,1,0,1,3,2,0,0,1,1,4,1,5,1,1,2,5,3
2026/01/09,2,1,2,1,1,0,3,0,0,1,1,0,2,2,1,0,2,1,2,1,2,1,2,2
2026/01/10,1,2,0,0,1,0,2,1,1,0,2,1,1,1,1,2,0,5,6,4,5,7,2,0
2026/01/11,4,1,0,1,0,0,0,3,1,3,3,4,1,1,1,1,0,1,3,2,1,1,5,1
2026/01/12,0,20,1,4,3,1,2,3,1,1,3,1,4,1,3,1,0,1,3,4,1,3,0,3
2026/01/13,3,2,2,0,0,0,0,1,0,2,1,1,1,0,2,0,2,2,0,2,2,1,3,2
2026/01/14,2,0,0,0,0,2,0,0,1,1,1,0,26,8,13,9,3,16,23,12,11,16,10,5
2026/01/15,2,2,2,1,4,2,1,8,2,4,9,7,10,3,6,2,4,4,9,5,4,11,3,2
2026/01/16,5,3,3,0,0,0,1,1,4,1,2,2,6,4,2,29,41,45,156,225,155,155,149,106
2026/01/17,21,18,11,11,12,13,25,53,32,34,24,22,25,26,22,21,42,31,34,45,42,20,34,23
2026/01/18,16,13,8,4,4,3,5,10,10,11,19,10,14,7,16,3,6,6,3,12,6,0,0,0
