YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,4,4
2026/01/08,5,1,0,1,0,0,1,3,2,2,6,2,4,3,1,5,4,13,11,20,15,16,10,6
2026/01/09,3,2,1,1,0,0,1,2,1,0,1,1,2,2,1,5,1,2,1,2,2,1,4,2
2026/01/10,18,3,5,0,0,2,4,5,6,3,4,0,3,20,9,10,6,6,134,44,22,22,27,9
2026/01/11,9,1,5,1,8,6,0,3,2,4,3,6,6,3,7,1,3,4,3,3,11,743,279,160
2026/01/12,108,48,21,16,14,10,15,26,24,26,27,25,22,79,133,142,88,106,121,57,131,68,26,17
2026/01/13,16,6,6,2,3,2,5,2,7,0,5,2,4,4,1,2,1,4,181,60,41,20,15,11
2026/01/14,10,11,1,1,1,3,7,6,5,5,2,0,4,1,0,1,2,2,1,2,2,8,7,6
2026/01/15,5,2,2,1,1,5,0,1,3,2,0,1,7,6,4,6,3,11,11,17,11,13,11,10
2026/01/16,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
