YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2,2,1,3,4
2026/01/08,1,0,0,0,0,1,1,1,1,1,7,1,2,3,6,3,1,9,7,15,5,4,5,2
2026/01/09,5,2,3,1,0,0,0,1,0,0,0,0,1,0,0,3,0,0,3,124,55,39,25,14
2026/01/10,7,9,5,1,3,1,5,0,5,4,4,1,2,6,5,1,8,4,3,270,150,90,42,35
2026/01/11,28,9,8,3,4,2,7,5,9,12,18,5,6,9,9,7,14,13,14,27,14,13,9,8
2026/01/12,365,67,48,14,14,24,29,35,22,26,29,39,71,24,22,30,69,95,67,65,33,50,233,73
2026/01/13,28,8,6,2,3,6,9,7,10,4,3,1,7,3,3,0,3,6,4,11,5,6,4,7
2026/01/14,2,3,2,0,2,2,1,1,0,2,0,0,8,3,1,1,1,1,0,2,2,4,3,16
2026/01/15,21,4,4,0,3,8,5,4,6,3,7,4,9,1,0,2,1,4,2,1,15,5,9,4
2026/01/16,5,7,2,0,2,0,2,4,1,4,0,2,3,6,2,6,4,3,3,6,3,6,1,2
2026/01/17,0,1,1,0,2,5,0,0,0,3,1,10,19,24,24,10,15,9,9,14,10,7,2,8
2026/01/18,2,6,1,2,1,1,2,2,2,4,3,0,2,2,0,2,0,5,5,4,3,4,4,5
2026/01/19,3,0,1,2,1,2,0,0,1,0,0,0,0,1,0,1,2,1,1,1,0,0,1,1
2026/01/20,1,1,0,0,0,0,0,0,2,0,1,2,1,1,0,1,0,3,0,1,1,2,3,2
2026/01/21,0,0,0,1,0,0,0,6,0,0,0,0,1,0,2,1,0,2,1,2,2,1,0,0
2026/01/22,4,0,1,0,1,0,1,2,0,0,0,2,3,6,2,1,1,2,4,7,2,3,1,10
2026/01/23,6,1,1,1,0,2,0,1,2,2,0,1,1,0,1,1,0,0,0,1,2,1,0,0
2026/01/24,1,2,1,0,0,0,0,0,0,0,3,1,4,1,1,1,3,1,2,3,2,2,2,0
2026/01/25,2,4,1,0,0,0,0,1,0,2,3,5,1,2,2,2,1,1,4,6,4,9,1,6
2026/01/26,5,1,0,1,0,0,1,0,7,1,1,1,0,0,2,2,2,3,3,3,7,7,381,98
2026/01/27,30,18,12,11,7,15,19,16,13,10,4,15,12,5,4,4,5,7,13,12,6,4,9,1
2026/01/28,3,3,1,1,0,0,1,1,4,0,0,4,1,0,0,0,1,1,0,1,4,2,2,2
2026/01/29,1,1,3,1,0,1,2,0,0,1,2,0,1,0,3,2,1,1,0,8,14,488,200,94
2026/01/30,51,24,15,6,5,8,21,22,14,8,11,11,13,17,8,13,11,8,11,18,21,24,9,14
2026/01/31,7,6,5,0,1,0,3,3,3,5,5,3,6,11,12,7,6,4,12,432,135,93,66,52
2026/02/01,23,16,15,6,6,9,17,23,33,26,25,34,21,21,12,17,9,22,7,18,193,183,85,49
2026/02/02,44,49,16,21,8,4,12,17,17,11,15,6,94,80,47,26,24,26,23,16,11,23,19,16
2026/02/03,13,5,4,7,4,2,5,10,8,3,4,5,12,2,8,8,5,1,7,8,7,6,5,4
2026/02/04,3,1,1,0,0,0,4,0,1,10,5,2,3,1,0,0,2,3,4,2,5,15,9,4
2026/02/05,1,2,3,0,0,2,1,2,0,0,1,1,1,10,3,2,2,8,15,21,12,12,6,11
2026/02/06,2,2,4,2,1,0,3,2,1,0,2,5,3,15,3,2,4,2,0,0,0,0,0,0
