YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/08,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,4,6,5,4,5,1
2026/01/09,1,0,0,0,0,0,1,0,0,0,2,1,2,1,1,0,0,2,3,1,0,3,2,0
2026/01/10,1,0,0,0,2,0,0,0,0,1,0,0,1,3,3,0,0,0,0,1,0,3,1,0
2026/01/11,2,0,0,0,0,0,0,3,0,1,2,1,1,1,1,1,0,1,0,10,3,0,0,0
2026/01/12,1,3,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,2,0,0,11,8
2026/01/13,0,2,1,0,0,0,0,0,0,1,2,0,1,1,1,0,1,2,3,133,97,70,36,10
2026/01/14,11,3,5,1,4,3,2,5,8,6,3,11,14,8,5,4,7,4,8,2,4,5,9,3
2026/01/15,2,1,1,0,1,1,0,0,1,1,2,1,0,4,1,0,1,1,2,3,2,0,0,2
2026/01/16,0,1,0,0,0,0,1,1,2,0,1,0,0,0,1,0,0,0,2,2,2,5,2,3
2026/01/17,1,0,1,2,0,3,0,0,0,0,1,10,18,25,19,10,19,9,7,13,8,9,2,10
2026/01/18,2,7,3,2,1,0,2,3,2,2,6,0,2,3,1,1,1,3,92,43,29,14,8,10
2026/01/19,8,10,5,3,3,4,0,3,6,19,17,8,8,5,4,5,4,1,101,28,28,10,9,7
2026/01/20,5,4,3,0,1,0,2,3,2,1,1,2,4,3,1,1,2,0,3,2,2,3,2,2
2026/01/21,2,0,0,1,0,1,0,6,0,1,2,0,0,1,0,0,1,0,1,3,1,0,2,3
2026/01/22,1,1,0,1,0,0,0,2,1,0,1,1,0,0,2,1,0,0,2,3,2,3,4,4
2026/01/23,1,3,1,1,0,0,0,0,1,0,0,0,3,0,0,1,0,0,1,1,1,1,2,2
2026/01/24,0,0,0,1,0,0,0,3,0,0,0,5,0,1,1,0,1,0,1,1,1,1,0,0
2026/01/25,2,2,0,2,0,2,0,1,1,0,2,0,2,2,0,1,0,0,0,10,6,5,2,4
2026/01/26,4,1,1,0,0,2,0,0,8,0,1,0,0,0,0,0,1,18,4,2,9,15,8,4
2026/01/27,5,3,1,1,0,1,4,3,0,2,1,1,2,1,3,1,0,1,2,3,1,3,1,0
2026/01/28,1,1,0,0,0,1,1,0,0,0,0,1,1,2,1,0,3,1,2,1,2,0,0,0
2026/01/29,0,1,0,0,0,0,0,0,1,0,1,0,3,1,1,0,1,1,0,2,1,1,3,1
2026/01/30,2,4,1,0,2,1,1,0,2,1,3,0,3,6,1,1,0,4,107,21,30,41,22,12
2026/01/31,8,0,2,1,0,2,3,5,3,3,3,3,4,5,5,3,2,3,7,4,4,3,5,3
2026/02/01,5,2,0,1,0,3,1,2,1,2,0,13,2,1,3,3,0,0,0,408,140,76,61,42
2026/02/02,31,22,14,12,1,11,6,10,10,9,5,5,7,5,3,4,3,8,4,3,6,13,4,7
2026/02/03,3,2,2,1,1,1,0,2,2,4,0,1,3,2,1,2,2,2,5,6,4,5,2,6
2026/02/04,0,1,2,0,0,1,0,0,0,8,2,7,6,2,1,3,0,4,5,3,3,250,89,37
2026/02/05,19,11,12,6,3,7,11,12,10,7,7,2,10,5,4,2,4,4,3,2,1,2,7,8
2026/02/06,4,2,3,3,1,5,1,3,4,2,1,0,1,0,1,0,0,4,0,0,1,406,120,71
2026/02/07,40,23,14,6,6,14,9,16,16,24,11,11,12,9,10,6,21,12,5,11,7,19,8,10
2026/02/08,6,1,0,2,1,1,3,0,3,2,1,3,1,4,3,5,5,1,0,4,4,1,3,3
2026/02/09,3,2,1,0,0,0,0,1,1,1,3,1,1,3,4,0,2,3,2,3,3,3,4,4
2026/02/10,4,3,2,1,0,0,0,1,0,1,0,2,3,1,0,0,1,3,1,1,1,0,2,0
2026/02/11,0,2,1,1,0,1,1,0,1,0,1,2,0,2,1,0,0,0,2,2,1,4,6,3
2026/02/12,0,0,1,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
