YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,9,10,6,3
2026/01/08,7,2,2,1,2,1,1,2,0,2,5,0,6,7,4,4,5,12,7,10,5,4,13,7
2026/01/09,1,0,0,0,3,0,0,0,1,0,0,1,2,1,4,1,2,2,4,0,2,0,2,0
2026/01/10,0,2,1,0,0,3,0,0,3,0,2,2,4,4,5,2,0,8,9,9,6,9,1,2
2026/01/11,2,0,0,2,0,1,1,2,2,4,2,7,6,1,9,1,3,2,3,2,0,3,1,65
2026/01/12,4,5,1,0,1,1,15,34,216,244,193,139,137,88,59,48,32,48,22,24,19,23,21,25
2026/01/13,19,11,6,5,2,4,6,8,11,5,4,7,7,3,2,2,4,7,9,6,4,5,43,22
2026/01/14,6,2,6,3,4,2,5,3,10,2,4,0,1,0,5,5,5,2,38,72,44,47,33,21
2026/01/15,12,10,2,2,5,3,6,7,4,6,3,6,7,3,11,5,22,22,18,8,14,11,15,15
2026/01/16,9,5,3,0,2,3,2,4,0,1,1,4,1,1,0,3,3,8,2,3,6,5,5,2
2026/01/17,1,1,0,0,2,2,3,4,0,4,3,1,1,2,2,2,2,1,2,1,2,0,3,3
2026/01/18,0,0,1,1,1,0,0,0,1,4,4,0,2,3,1,1,1,3,3,2,6,2,3,16
2026/01/19,4,8,3,1,0,0,0,0,1,0,0,0,4,1,1,2,3,3,1,1,1,3,3,0
2026/01/20,0,0,0,1,0,0,0,2,2,2,3,4,1,0,1,0,1,0,1,3,0,4,6,5
2026/01/21,4,3,3,2,1,0,4,0,0,1,1,1,0,0,0,3,1,0,1,2,4,1,2,2
2026/01/22,3,1,0,0,0,0,0,3,2,3,1,5,3,3,2,7,8,13,9,7,6,12,12,12
2026/01/23,8,2,1,2,1,0,3,2,2,6,2,2,8,5,3,2,5,9,11,0,5,3,6,6
2026/01/24,2,2,2,0,1,1,2,0,1,3,3,2,2,0,2,2,4,16,9,12,8,4,3,3
2026/01/25,3,1,0,0,1,1,2,3,6,5,5,2,2,3,2,2,1,3,1,0,10,5,5,13
2026/01/26,5,2,0,2,2,0,1,4,2,0,0,5,1,4,1,1,7,2,1,1,0,3,0,2
2026/01/27,2,2,1,1,2,0,0,2,0,0,2,2,2,0,3,1,0,0,0,4,1,2,3,3
2026/01/28,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,3,1,1,1,2,1,2,2
2026/01/29,3,1,1,2,2,1,2,5,1,2,5,2,2,2,1,5,185,232,127,98,50,171,194,89
2026/01/30,46,27,16,10,6,12,29,35,18,17,21,17,19,9,18,9,4,13,10,7,5,7,5,4
2026/01/31,3,4,2,1,5,2,2,7,2,3,3,6,1,1,5,4,4,2,2,7,7,7,2,1
2026/02/01,7,3,2,1,1,4,1,1,4,1,2,3,5,11,5,5,4,10,4,6,2,3,6,4
2026/02/02,6,9,8,1,1,2,1,6,1,2,7,3,4,0,1,3,3,1,3,2,7,1,9,9
2026/02/03,6,0,4,2,0,1,0,1,1,1,2,3,6,0,3,2,0,3,1,4,1,2,1,4
2026/02/04,1,0,1,0,0,0,1,0,0,1,2,0,1,4,4,0,2,5,176,59,28,29,15,14
2026/02/05,14,9,2,3,5,9,7,8,6,3,2,7,1,5,4,9,10,20,19,11,15,14,9,9
2026/02/06,6,3,2,0,2,1,3,5,1,2,1,3,3,5,1,6,5,4,1,2,4,1,2,9
2026/02/07,4,2,0,0,3,1,1,4,2,0,2,0,1,2,0,0,3,4,3,1,11,18,22,3
2026/02/08,3,2,3,0,1,1,0,4,1,4,4,0,4,3,2,2,1,6,1,4,1,1,3,2
2026/02/09,2,2,1,0,1,0,0,0,0,2,0,0,0,1,1,4,1,2,2,1,2,2,3,0
2026/02/10,1,1,1,0,0,0,1,1,2,6,9,4,6,5,4,2,1,3,301,102,68,411,146,95
2026/02/11,46,27,16,9,12,15,25,34,43,115,53,28,24,25,23,12,8,7,163,52,42,27,21,15
2026/02/12,26,9,14,2,3,3,7,14,6,4,3,6,14,19,12,15,22,20,18,8,16,13,21,13
2026/02/13,4,6,1,2,1,2,4,3,6,7,7,3,5,0,5,3,3,17,6,400,156,107,71,32
2026/02/14,38,21,12,5,8,12,11,11,13,5,6,14,12,6,3,4,9,10,12,5,8,7,6,8
2026/02/15,4,5,1,3,0,0,2,3,6,2,1,8,10,6,4,2,0,0,0,0,0,0,0,0
