YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,3,2,3
2026/01/08,2,2,1,0,0,0,0,1,0,0,2,0,1,1,0,1,6,6,2,1,3,3,3,1
2026/01/09,15,1,2,0,0,1,4,9,3,5,3,4,20,4,3,3,0,3,2,6,8,1,3,1
2026/01/10,3,2,1,0,0,0,1,1,0,0,1,0,1,2,3,4,1,6,2,0,2,2,4,2
2026/01/11,1,4,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,3,3,1,2,3
2026/01/12,0,2,0,0,0,0,0,0,0,1,3,1,1,0,2,0,0,0,1,3,1,2,1,0
2026/01/13,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,1,14,6,1
2026/01/14,2,2,2,0,1,0,3,0,1,1,0,0,2,2,1,2,2,3,0,3,0,3,1,1
2026/01/15,1,2,0,0,0,0,1,0,0,0,0,2,0,4,1,0,5,1,0,0,2,6,5,3
2026/01/16,4,1,0,1,1,0,1,2,0,1,0,0,1,0,0,0,3,2,3,17,12,6,9,3
2026/01/17,1,0,0,0,0,0,3,2,3,1,0,2,2,0,1,0,1,0,2,2,1,0,3,6
2026/01/18,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,2
2026/01/19,1,11,0,0,2,1,1,4,5,2,1,2,5,4,3,2,1,1,0,1,1,411,161,57
2026/01/20,46,24,9,5,5,11,21,25,22,13,15,18,9,14,5,7,9,9,4,9,3,4,6,4
2026/01/21,5,2,1,0,2,2,2,3,3,1,2,0,2,1,1,2,2,3,0,0,4,5,4,1
2026/01/22,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,3,2,0,5
2026/01/23,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0
2026/01/24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,2,1,1,2,1
2026/01/25,0,0,0,0,1,0,0,1,2,4,2,1,0,2,5,6,2,0,1,3,6,5,2,0
2026/01/26,12,3,3,0,0,1,0,2,0,1,0,0,1,0,3,1,7,2,1,1,0,4,1,0
2026/01/27,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,1,3,1,3,1
2026/01/28,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,2,0,0
2026/01/29,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,3,3,6,3
2026/01/30,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,3,0,3,2,2,0,11,2,2
2026/01/31,1,2,0,0,0,0,0,0,0,3,2,2,4,4,3,1,1,1,1,1,2,3,1,2
2026/02/01,1,0,0,0,0,0,0,1,0,1,0,2,0,1,0,1,2,0,3,4,3,6,2,5
2026/02/02,2,7,1,3,1,1,0,1,1,0,2,3,2,0,1,2,1,1,0,5,3,3,9,4
2026/02/03,5,1,1,1,1,1,2,2,0,1,0,4,1,1,2,2,3,2,2,2,3,2,12,8
2026/02/04,8,4,3,2,2,3,4,2,4,2,3,4,18,13,7,6,11,10,17,32,19,335,246,91
2026/02/05,42,13,18,15,10,15,16,24,18,10,16,8,13,15,3,8,11,10,12,9,5,14,14,10
2026/02/06,1,3,1,1,0,1,1,4,0,1,5,1,1,0,2,0,0,2,1,3,3,5,1,5
2026/02/07,3,0,0,1,0,1,0,2,1,1,1,0,1,0,0,0,1,0,5,3,24,11,10,23
2026/02/08,31,11,13,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
