YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2026/01/08,5,0,1,0,0,0,1,0,1,0,0,1,3,2,4,3,7,19,7,11,9,14,11,5
2026/01/09,8,2,2,1,0,0,1,2,0,1,0,2,2,2,0,0,2,3,3,2,1,3,2,0
2026/01/10,0,1,0,0,0,0,2,0,1,0,0,0,3,6,7,1,3,6,2,7,2,2,6,4
2026/01/11,1,1,2,0,1,2,2,1,2,2,0,5,5,4,3,0,2,1,4,3,0,3,2,2
2026/01/12,0,1,2,1,0,0,0,0,2,1,2,6,3,2,2,5,3,1,5,2,2,3,4,3
2026/01/13,1,2,1,1,0,1,2,1,1,0,1,1,1,0,3,1,0,1,2,2,5,6,5,5
2026/01/14,2,0,1,0,1,2,2,1,0,1,2,0,1,1,2,2,1,5,2,2,2,2,2,0
2026/01/15,6,3,0,0,1,0,1,1,1,0,1,2,9,6,6,2,9,8,3,7,15,14,6,3
2026/01/16,1,2,1,0,0,1,1,0,2,12,31,8,16,11,6,4,3,6,4,7,11,13,13,11
2026/01/17,3,4,1,2,0,2,4,5,4,4,2,5,3,9,6,7,1,4,4,1,4,3,7,3
2026/01/18,1,4,0,0,0,1,0,0,1,1,3,2,2,1,4,1,4,6,360,235,162,120,79,53
2026/01/19,351,75,42,25,25,47,75,91,132,55,84,78,36,18,24,34,31,54,62,24,43,71,34,37
2026/01/20,12,7,7,5,0,2,10,11,10,26,45,62,18,8,9,22,49,43,25,7,30,49,18,31
2026/01/21,4,5,2,1,0,1,3,4,4,2,30,54,7,9,3,25,23,44,21,4,23,42,27,21
2026/01/22,3,7,2,0,0,4,4,3,2,18,28,11,23,1,3,14,29,39,23,28,12,29,38,34
2026/01/23,5,1,2,1,2,1,2,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
