YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026/01/08,0,1,0,0,0,1,1,0,1,0,2,1,0,0,0,1,0,3,9,7,6,5,10,8
2026/01/09,1,3,1,0,0,0,3,0,1,0,1,1,2,3,1,1,3,1,3,0,0,1,1,1
2026/01/10,0,1,0,0,0,0,0,2,0,1,1,1,2,5,4,1,1,1,1,5,1,4,0,1
2026/01/11,2,1,2,0,0,2,2,3,1,0,0,1,4,1,0,0,3,0,264,107,61,42,26,16
2026/01/12,27,14,3,6,2,3,4,6,8,7,6,4,4,4,1,5,4,4,2,9,6,4,9,4
2026/01/13,3,2,0,0,0,0,1,2,0,0,0,1,3,0,4,1,1,1,2,0,2,2,2,5
2026/01/14,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,5,1,3
2026/01/15,0,0,1,0,0,0,0,1,2,2,0,1,5,0,3,1,0,7,4,4,5,1,3,9
2026/01/16,2,3,4,0,0,0,1,3,1,2,0,2,4,1,1,2,0,2,2,2,0,7,3,2
2026/01/17,1,1,1,0,1,0,0,4,3,1,3,2,0,1,4,0,0,2,3,3,0,2,2,2
2026/01/18,3,1,2,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,3,3,2,5,1,3
2026/01/19,0,14,2,0,0,3,0,1,1,2,1,1,5,0,0,0,0,4,0,3,1,0,1,1
2026/01/20,1,2,0,0,1,0,2,0,0,1,2,0,1,0,0,0,1,2,0,0,0,0,2,5
2026/01/21,0,1,0,3,0,1,1,0,0,1,0,0,1,1,1,0,0,0,3,2,0,2,3,2
2026/01/22,3,4,2,2,1,0,1,2,0,3,1,2,4,3,0,2,0,4,7,4,5,11,12,10
2026/01/23,5,0,0,1,1,0,0,3,2,5,1,2,1,2,1,1,2,4,2,2,3,3,6,1
2026/01/24,1,1,0,0,0,0,0,1,1,3,0,3,1,1,0,1,2,5,4,1,0,3,6,4
2026/01/25,1,4,1,0,1,0,0,2,1,1,0,1,1,4,1,0,0,2,1,6,1,10,1,2
2026/01/26,2,1,3,2,2,0,0,0,1,4,0,1,3,2,0,1,4,2,1,1,4,0,6,4
2026/01/27,2,2,0,1,0,0,0,0,0,1,0,1,5,2,1,2,0,4,4,0,4,7,3,5
2026/01/28,1,0,0,0,0,0,4,3,0,0,4,1,2,4,0,2,0,0,2,0,1,1,1,4
2026/01/29,1,2,1,1,0,0,2,2,2,2,2,2,3,1,1,3,2,1,0,4,2,0,3,2
2026/01/30,2,4,1,0,1,1,0,0,1,1,1,1,2,2,1,1,1,6,2,3,5,9,299,115
2026/01/31,55,16,15,6,6,5,13,9,13,14,15,13,11,10,3,7,4,4,1,6,8,7,5,3
2026/02/01,1,2,1,0,0,0,2,2,1,3,1,6,2,4,5,3,3,3,4,312,140,375,151,79
2026/02/02,69,46,25,16,11,10,12,14,22,9,8,8,11,6,5,12,9,9,14,5,5,9,13,8
2026/02/03,9,4,3,6,1,1,0,0,3,4,1,3,9,1,2,3,4,4,4,5,3,4,3,4
2026/02/04,3,0,2,2,1,0,2,1,1,1,2,1,1,1,1,2,0,5,305,154,103,61,42,22
2026/02/05,22,16,13,7,9,5,12,14,4,9,7,6,4,6,6,11,6,10,23,13,19,16,9,7
2026/02/06,4,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
