YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/08,2,1,6,2,1,1,2,3,6,2,3,3,6,4,1,5,1,4,10,4,4,6,20,5
2026/01/09,3,1,1,0,0,0,3,0,1,1,1,1,4,2,0,0,0,0,0,0,0,3,1,1
2026/01/10,0,0,0,0,1,0,0,1,0,0,0,1,0,4,1,1,0,0,0,1,0,1,1,1
2026/01/11,3,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1
2026/01/12,0,0,1,0,0,0,0,0,0,0,0,0,2,3,2,1,0,0,204,73,54,39,18,26
2026/01/13,15,4,5,3,5,10,2,5,9,4,4,2,7,4,4,4,3,4,4,2,5,1,6,7
2026/01/14,1,0,1,0,0,3,0,1,0,2,1,1,0,0,2,0,1,0,0,1,2,2,0,2
2026/01/15,0,0,0,0,2,0,0,0,1,0,1,2,2,1,3,1,1,2,4,6,6,9,8,10
2026/01/16,4,1,0,0,0,1,1,3,2,0,1,0,3,1,0,0,2,0,0,1,197,181,61,43
2026/01/17,4,3,2,9,6,7,5,10,10,14,4,7,7,7,5,5,4,2,6,2,1,3,3,1
2026/01/18,6,2,2,0,0,2,0,1,2,2,3,1,0,0,1,1,1,0,1,1,2,4,4,3
2026/01/19,0,5,5,1,2,0,1,2,6,17,15,7,6,5,2,5,2,2,1,0,2,5,1,2
2026/01/20,5,1,0,0,0,0,1,0,3,2,0,0,1,1,2,1,1,0,172,72,33,12,27,15
2026/01/21,12,5,3,0,2,5,0,1,3,1,5,1,4,3,0,2,0,0,0,0,1,2,3,5
2026/01/22,6,5,2,2,3,1,3,4,5,5,5,1,5,4,6,1,3,9,5,2,17,12,16,5
2026/01/23,4,2,1,0,0,1,1,0,3,5,0,0,4,1,1,4,1,0,2,1,4,1,2,1
2026/01/24,0,0,0,1,0,1,2,2,3,1,0,2,0,0,3,0,2,1,3,0,2,5,3,5
2026/01/25,1,0,0,1,0,1,1,1,0,1,1,0,1,1,2,1,0,1,2,2,1,4,3,3
2026/01/26,5,4,0,1,0,2,0,2,0,0,1,0,0,0,4,1,2,4,151,75,34,29,22,9
2026/01/27,5,4,4,3,1,0,6,4,2,4,1,13,5,1,4,1,1,2,5,5,5,1,5,6
2026/01/28,1,1,1,1,1,0,0,3,1,3,1,0,0,0,0,2,0,0,1,1,1,2,1,1
2026/01/29,0,0,2,0,0,1,0,1,2,2,0,0,0,2,1,0,0,1,0,1,3,3,3,0
2026/01/30,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,310,132,195,77,61
2026/01/31,32,14,12,5,2,2,7,17,6,10,18,13,12,8,9,5,7,6,9,8,9,9,3,2
2026/02/01,7,2,2,1,0,5,0,1,3,7,6,3,7,5,8,5,3,7,8,5,8,5,5,5
2026/02/02,4,3,0,2,1,0,0,2,2,1,1,0,82,74,38,20,16,19,14,17,9,20,10,11
2026/02/03,6,6,4,6,3,2,4,7,8,2,2,2,7,4,3,2,2,2,5,8,4,3,8,5
2026/02/04,2,2,2,0,0,0,2,0,1,3,3,3,2,1,9,5,11,6,5,2,5,6,6,2
2026/02/05,3,2,0,1,1,0,0,0,6,4,156,103,112,53,32,33,30,21,28,21,33,24,25,28
2026/02/06,10,2,4,3,4,5,2,6,7,4,1,2,4,4,2,4,2,4,1,1,1,5,2,3
2026/02/07,1,3,0,2,2,3,0,0,1,0,0,1,0,0,0,1,2,4,1,0,1,0,1,0
2026/02/08,0,0,1,0,0,0,1,0,2,1,1,0,1,1,0,9,2,2,1,4,3,1,1,4
2026/02/09,2,1,4,0,0,0,3,0,0,0,2,1,2,3,0,1,3,2,2,0,3,2,2,0
2026/02/10,0,3,2,1,0,0,1,2,1,0,0,0,3,1,0,0,3,3,5,2,3,2,1,4
2026/02/11,4,1,0,1,0,0,1,2,0,3,0,1,0,7,3,1,2,2,1,5,0,4,1,1
2026/02/12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
