YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6
2026/01/08,4,1,1,1,0,1,0,2,1,3,1,1,5,2,1,2,2,5,11,11,7,1,9,7
2026/01/09,3,1,2,0,0,0,1,1,0,2,1,3,2,5,2,1,4,1,3,3,4,7,3,1
2026/01/10,7,1,0,2,1,3,1,0,2,2,0,3,2,7,12,5,5,7,8,7,11,7,6,7
2026/01/11,4,0,3,1,0,1,1,4,3,3,5,4,0,2,2,1,3,2,125,27,22,12,11,9
2026/01/12,18,11,1,3,4,5,6,5,2,4,5,4,6,4,5,0,6,0,11,4,6,8,2,3
2026/01/13,4,3,0,1,4,6,1,3,1,0,0,0,4,1,2,2,3,5,5,3,3,8,6,3
2026/01/14,3,6,2,1,0,0,2,0,0,3,1,2,1,1,3,2,7,2,3,3,0,3,6,6
2026/01/15,4,1,0,1,0,1,0,0,4,3,3,1,10,3,16,2,15,11,16,9,7,20,14,10
2026/01/16,10,3,0,0,3,1,5,3,7,4,1,7,1,5,3,3,3,8,4,6,20,18,12,7
2026/01/17,2,0,2,1,1,1,5,2,3,5,4,2,3,2,3,1,5,7,5,2,1,4,2,4
2026/01/18,5,1,3,1,1,1,1,0,3,3,6,4,1,2,2,1,6,4,3,16,7,9,6,4
2026/01/19,2,5,0,1,0,0,2,1,1,0,0,4,106,121,62,40,30,37,34,27,22,19,22,11
2026/01/20,7,8,5,3,3,2,5,7,2,5,8,6,8,5,5,3,6,5,1,0,6,9,11,2
2026/01/21,8,3,0,3,1,1,2,3,2,2,6,2,2,1,1,2,1,3,3,9,3,2,4,4
2026/01/22,4,4,1,0,0,0,0,0,4,10,0,2,10,7,1,4,9,10,13,22,14,8,16,6
2026/01/23,10,4,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
