YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2026/01/08,0,0,0,1,0,0,0,1,1,2,1,1,5,3,2,4,3,5,10,13,13,13,12,9
2026/01/09,6,3,0,0,2,0,3,5,2,0,0,1,4,2,3,3,3,0,3,5,2,0,2,0
2026/01/10,1,1,0,0,1,0,0,0,0,1,2,0,2,1,1,2,3,3,3,5,1,2,5,1
2026/01/11,1,1,2,0,0,0,1,0,0,0,0,2,3,2,0,1,1,1,2,1,0,1,0,0
2026/01/12,1,1,0,0,1,0,1,1,2,0,0,1,2,1,3,0,3,2,291,208,103,82,73,45
2026/01/13,21,6,13,9,5,9,9,10,8,6,11,8,18,7,4,7,8,6,7,7,8,11,5,3
2026/01/14,9,2,0,1,1,3,1,3,5,2,2,2,7,4,3,5,2,0,2,7,3,2,5,0
2026/01/15,1,2,4,1,0,0,0,1,0,2,0,0,2,2,8,1,7,9,4,13,12,11,9,16
2026/01/16,4,0,0,0,0,1,2,1,5,3,1,1,6,1,5,3,2,1,1,4,2,1,3,4
2026/01/17,0,1,1,0,0,0,0,5,0,0,2,0,2,2,1,1,2,1,0,2,0,2,3,4
2026/01/18,0,1,0,0,0,0,0,0,1,1,3,1,1,0,5,2,1,6,3,1,3,1,2,1
2026/01/19,2,3,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,3,0,1,2,1,3,1
2026/01/20,0,1,0,0,0,0,0,1,0,0,1,0,4,1,0,0,2,2,1,0,2,1,0,1
2026/01/21,2,0,0,2,0,0,0,2,1,1,0,0,1,3,0,1,15,9,4,4,5,7,4,2
2026/01/22,1,2,0,1,0,2,2,3,1,1,0,0,1,0,0,1,15,15,6,24,10,19,16,16
2026/01/23,1,4,42,1,1,0,3,8,3,4,3,0,3,1,3,1,1,4,4,2,1,2,1,1
2026/01/24,1,0,0,0,0,0,0,0,0,4,6,2,2,0,2,0,1,0,6,4,3,4,8,5
2026/01/25,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
