YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,39,45,50,56,52,32,34,24
2026/01/08,19,34,5,2,9,20,38,57,82,34,31,20,112,98,80,40,41,49,35,91,104,115,374,112
2026/01/09,101,71,24,20,12,26,38,47,40,30,42,41,326,138,79,56,42,54,91,49,60,47,42,30
2026/01/10,27,18,13,7,5,6,18,16,15,13,22,14,17,18,19,19,10,22,18,10,11,13,17,10
2026/01/11,7,5,4,3,0,2,4,5,3,2,4,5,198,85,126,77,34,33,55,35,33,25,15,22
2026/01/12,18,8,12,11,6,8,9,5,11,13,9,8,17,25,10,11,7,4,18,14,63,108,87,39
2026/01/13,18,10,10,7,11,9,10,10,13,33,60,61,238,75,66,48,57,63,74,107,84,30,37,23
2026/01/14,25,25,9,5,13,5,23,21,10,2,14,12,10,12,20,8,15,10,10,7,8,8,11,12
2026/01/15,10,3,3,6,2,4,32,11,9,3,6,16,154,160,95,58,52,43,54,55,46,50,56,31
2026/01/16,22,10,9,5,4,12,12,10,5,7,15,7,47,25,31,28,64,54,39,33,21,34,80,23
2026/01/17,3,6,5,3,2,10,7,5,6,17,10,34,284,167,117,101,72,54,43,45,26,25,16,25
2026/01/18,32,16,10,9,10,4,15,10,39,52,72,68,206,137,175,128,83,59,57,57,45,33,21,24
2026/01/19,18,16,5,7,5,2,15,6,8,18,10,9,380,139,110,84,72,120,171,209,182,128,76,62
2026/01/20,50,38,16,10,8,23,32,111,93,81,79,96,156,310,491,465,261,339,347,478,384,235,181,158
2026/01/21,79,44,22,9,24,59,61,101,84,67,53,43,132,60,94,123,65,65,179,104,77,82,53,34
2026/01/22,31,15,18,7,14,17,39,36,39,38,22,29,96,38,55,39,62,53,59,40,49,46,44,34
2026/01/23,14,11,8,3,34,35,12,6,37,32,128,107,134,46,30,32,20,30,28,20,19,11,13,17
2026/01/24,6,8,5,2,4,4,6,7,9,7,10,9,20,4,11,8,6,9,11,7,9,16,7,4
2026/01/25,17,6,7,0,2,6,6,7,7,5,10,7,10,12,8,7,9,2,10,12,19,9,7,10
2026/01/26,8,4,0,0,2,0,6,5,3,10,2,7,18,10,6,6,140,593,264,172,330,179,122,67
2026/01/27,42,32,12,24,6,14,23,17,47,50,52,36,68,38,40,38,32,38,157,80,48,38,35,19
2026/01/28,17,14,7,8,4,7,13,10,18,10,10,5,16,5,6,4,11,5,10,13,12,12,5,8
2026/01/29,14,17,20,14,16,33,47,71,45,33,35,20,36,34,25,30,75,71,50,32,31,37,35,28
2026/01/30,20,4,2,3,4,8,10,9,13,8,10,13,8,10,13,5,7,3,9,10,5,14,8,8
2026/01/31,9,3,4,4,1,1,2,8,8,5,5,8,8,3,10,11,11,9,7,5,6,12,16,14
2026/02/01,12,4,4,2,3,7,6,20,16,10,6,9,11,13,4,12,11,13,10,11,8,17,10,10
2026/02/02,13,175,260,73,27,40,89,114,89,56,39,28,39,17,11,14,25,17,17,14,15,18,20,11
2026/02/03,8,2,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
