YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/08,0,1,2,0,0,0,0,5,0,1,2,1,2,2,2,1,1,6,8,4,6,6,13,6
2026/01/09,6,3,2,0,1,0,0,1,4,3,3,3,3,0,1,0,2,3,1,4,1,4,7,3
2026/01/10,2,0,0,0,0,2,1,0,0,1,0,4,2,5,4,0,0,2,3,0,0,0,3,3
2026/01/11,1,3,4,1,0,0,1,1,1,0,1,4,1,2,4,0,2,1,0,3,6,2,3,3
2026/01/12,4,2,3,2,0,1,0,1,2,3,1,0,0,3,0,3,1,2,1,2,3,1,3,2
2026/01/13,4,3,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,3,0,47,121,91,60,31
2026/01/14,27,17,1,2,5,7,6,14,12,12,11,18,18,8,10,9,5,14,11,10,3,7,11,7
2026/01/15,4,2,2,3,0,2,1,3,3,0,1,2,4,3,3,1,0,6,3,5,18,56,24,13
2026/01/16,5,1,6,1,5,3,4,8,6,4,7,4,4,5,4,1,4,5,203,75,37,46,20,13
2026/01/17,6,5,3,5,6,2,6,1,3,5,3,8,7,11,7,5,49,31,27,37,21,18,28,11
2026/01/18,3,3,8,6,1,4,3,8,6,9,9,5,6,4,9,6,3,2,6,1,5,4,3,24
2026/01/19,5,8,1,0,0,1,0,0,0,0,1,1,3,1,1,1,5,1,101,53,28,24,15,5
2026/01/20,2,3,2,2,0,6,1,13,8,7,7,13,5,1,3,5,3,1,2,2,0,1,1,1
2026/01/21,1,0,0,1,0,1,0,3,0,0,1,0,1,3,1,2,0,2,118,42,25,21,17,15
2026/01/22,8,3,1,4,5,4,4,5,3,2,5,3,4,3,3,3,4,6,13,4,9,10,5,4
2026/01/23,5,4,3,0,3,1,3,1,3,2,0,2,564,222,139,118,70,84,65,51,43,52,27,41
2026/01/24,16,12,9,7,5,9,8,8,13,12,7,16,17,6,9,10,4,7,3,7,19,17,17,17
2026/01/25,11,4,4,4,0,2,1,4,1,3,5,4,6,10,22,18,14,6,12,14,20,12,7,8
2026/01/26,8,5,2,0,0,1,1,1,2,2,0,1,3,0,1,0,1,9,0,4,7,6,5,5
2026/01/27,7,4,4,3,2,1,0,1,0,1,1,0,0,2,0,2,1,1,1,5,1,6,3,4
2026/01/28,5,0,1,1,0,0,0,5,0,1,1,1,1,2,2,2,2,2,1,2,6,9,4,2
2026/01/29,2,1,1,1,0,2,1,5,2,1,5,2,4,1,1,8,3,3,202,86,534,216,124,74
2026/01/30,40,29,16,13,5,11,21,14,18,14,22,16,20,13,9,6,13,11,16,10,4,4,15,14
2026/01/31,9,11,0,6,0,0,5,14,33,31,32,22,30,29,24,28,8,16,43,28,23,17,15,26
2026/02/01,23,17,4,2,1,5,5,13,6,13,16,5,6,5,7,202,101,89,54,36,35,21,20,12
2026/02/02,16,20,12,8,3,1,5,8,9,3,8,1,10,3,1,1,3,9,8,9,12,10,16,12
2026/02/03,7,5,5,4,2,4,5,6,7,2,6,2,6,1,5,4,8,3,7,4,11,8,3,5
2026/02/04,5,5,1,1,3,2,2,1,0,2,1,2,2,4,0,4,0,4,2,2,2,5,5,5
2026/02/05,2,1,3,1,2,1,0,3,1,1,1,1,0,5,3,7,4,6,11,11,14,2,8925,3802
2026/02/06,1347,590,300,179,172,284,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
