YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1
2026/01/08,2,3,1,1,0,1,6,3,1,2,3,5,1,1,1,2,3,6,15,11,7,13,10,11
2026/01/09,4,1,12,0,1,1,1,2,3,1,2,1,5,0,0,4,2,4,2,1,6,1,4,1
2026/01/10,2,1,0,0,0,1,0,3,2,1,1,4,3,0,4,4,4,5,2,5,4,3,4,1
2026/01/11,1,0,0,1,0,0,0,2,0,0,1,2,2,2,0,0,1,1,1,6,4,3,0,2
2026/01/12,11,3,1,1,1,1,0,1,1,2,4,1,2,1,2,3,1,2,0,2,1,5,6,2
2026/01/13,1,0,0,3,1,0,0,0,0,0,0,2,1,3,0,2,0,1,1,1,6,1,3,1
2026/01/14,5,2,1,0,1,2,0,1,1,0,0,2,6,2,0,0,2,6,2,1,4,5,2,0
2026/01/15,2,1,1,0,2,0,0,1,1,1,0,4,8,1,4,6,4,6,9,7,17,12,11,9
2026/01/16,2,4,2,1,0,0,4,2,4,3,1,1,3,1,0,1,0,0,0,0,0,0,0,0
