YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2026/01/08,1,0,0,0,0,0,0,1,0,0,1,1,3,0,0,1,0,0,3,3,2,0,2,0
2026/01/09,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1
2026/01/10,0,0,1,0,0,0,0,2,1,0,0,0,1,2,2,0,2,0,0,1,1,1,2,1
2026/01/11,0,0,0,0,0,0,0,0,0,0,0,6,4,0,2,0,1,0,3,2,0,3,1,2
2026/01/12,1,2,0,1,1,0,2,1,2,0,0,4,2,2,2,2,1,1,0,3,1,1,2,1
2026/01/13,1,0,0,0,0,0,0,0,0,1,1,2,1,2,0,2,0,0,0,0,3,1,4,5
2026/01/14,1,0,1,0,1,1,2,0,0,1,2,1,0,0,0,7,0,6,2,3,4,0,0,0
2026/01/15,0,5,0,1,0,0,0,3,3,0,1,1,2,1,0,0,2,0,0,0,1,2,1,2
2026/01/16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
