YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,4,6,6,3
2026/01/08,6,1,2,2,1,1,1,2,2,0,2,1,4,1,3,2,6,14,18,11,4,7,13,2
2026/01/09,3,2,0,1,1,0,2,4,5,0,1,2,2,2,2,5,2,3,10,5,16,6,14,4
2026/01/10,2,3,0,0,0,0,0,3,0,2,3,5,7,12,7,7,4,4,4,4,6,4,5,3
2026/01/11,4,1,2,1,0,0,0,1,1,4,1,2,3,4,7,3,5,10,7,15,336,130,59,54
2026/01/12,53,34,15,13,8,4,11,15,18,16,22,21,16,14,9,12,54,78,49,38,23,15,13,26
2026/01/13,397,57,23,14,15,26,37,49,56,37,24,22,32,23,10,10,9,13,200,88,61,42,42,36
2026/01/14,23,15,1,4,2,4,9,9,7,7,6,3,7,4,1,0,7,10,2,6,2,6,4,19
2026/01/15,16,4,5,4,1,9,6,4,7,2,10,8,12,11,5,3,4,17,3,8,11,218,39,20
2026/01/16,6,3,1,0,1,1,3,2,3,2,0,2,11,5,0,4,1,4,2,4,6,4,4,8
2026/01/17,0,0,1,0,0,3,0,3,2,2,1,11,17,25,18,12,16,14,10,14,9,9,4,8
2026/01/18,7,4,1,2,1,0,4,2,3,3,5,0,1,2,1,2,4,5,5,4,5,2,21,11
2026/01/19,3,2,1,2,1,5,2,2,1,0,0,0,0,0,1,2,2,5,12,49,69,39,29,11
2026/01/20,4,5,5,2,2,4,5,5,2,4,4,6,5,4,2,9,2,4,2,3,2,5,5,3
2026/01/21,0,2,3,0,0,0,1,4,2,2,2,0,1,1,3,1,1,2,1,2,2,298,167,63
2026/01/22,52,22,8,6,3,6,19,18,13,10,12,12,19,5,8,9,7,8,20,13,11,8,15,7
2026/01/23,6,2,2,2,1,0,6,5,5,7,8,7,7,4,3,1,2,8,4,5,2,2,2,3
2026/01/24,2,3,1,1,1,2,1,1,3,7,1,2,3,10,15,10,9,8,8,18,73,44,29,14
2026/01/25,12,8,2,3,4,9,3,5,10,9,2,3,9,5,6,3,3,7,4,36,32,18,17,17
2026/01/26,7,2,1,2,1,3,0,2,1,7,2,3,4,2,3,3,6,3,3,6,10,7,8,5
2026/01/27,3,3,1,3,0,1,1,0,7,0,0,4,1,4,2,1,3,5,3,7,5,1,7,1
2026/01/28,4,0,0,2,2,1,2,1,6,3,3,4,1,10,1,3,3,1,2,5,4,10,4,2
2026/01/29,0,0,3,0,0,2,2,3,1,2,5,1,0,1,1,1,3,9,10,19,14,9,7,12
2026/01/30,8,1,1,0,0,4,0,1,6,4,3,3,9,6,3,5,4,5,11,16,5,23,18,10
2026/01/31,7,8,1,0,0,0,0,4,4,5,4,3,5,9,7,4,3,6,8,8,17,28,7,11
2026/02/01,13,6,5,5,3,5,10,8,6,5,13,17,12,13,7,10,9,5,136,53,46,26,546,151
2026/02/02,96,90,42,25,12,22,26,35,32,17,23,20,28,13,32,24,21,31,24,15,21,35,28,15
2026/02/03,11,6,6,5,2,2,5,8,3,3,4,1,15,2,2,7,7,7,6,7,1,5,5,5
2026/02/04,2,2,0,0,2,0,1,0,2,3,4,2,3,1,5,4,4,5,7,4,375,179,82,55
2026/02/05,24,16,14,10,9,13,14,15,14,10,7,9,18,12,9,14,14,20,36,19,556,213,144,80
2026/02/06,42,17,7,9,5,4,13,21,18,8,11,12,17,9,6,8,7,16,19,16,6,10,10,11
2026/02/07,6,6,2,1,2,3,1,7,2,2,4,2,4,2,13,4,13,10,6,4,10,3,5,5
2026/02/08,5,0,2,1,2,2,2,1,5,4,0,9,2,5,4,7,6,1,6,14,4,8,6,6
2026/02/09,2,7,6,1,1,0,2,0,5,4,4,4,5,3,2,5,4,0,2,2,4,11,10,13
2026/02/10,1,3,3,1,0,4,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
