YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3
2026/01/08,1,5,0,0,0,0,0,1,0,1,1,3,1,0,1,2,4,5,10,16,5,5,5,3
2026/01/09,4,1,0,0,1,1,0,3,4,0,1,1,3,1,0,1,2,1,1,1,0,0,0,3
2026/01/10,1,0,0,0,1,0,0,1,2,1,6,1,2,2,0,2,2,1,2,2,1,2,3,1
2026/01/11,0,0,1,0,0,2,1,2,1,0,1,6,2,2,2,0,1,1,0,4,3,7,4,4
2026/01/12,1,6,4,0,2,0,4,1,0,3,3,6,2,1,1,4,2,3,0,6,4,10,9,3
2026/01/13,0,1,0,0,0,1,2,1,1,0,1,1,1,1,0,1,1,2,0,2,3,352,140,37
2026/01/14,43,17,14,7,9,8,25,16,16,6,9,7,12,7,12,4,5,8,12,12,230,154,70,47
2026/01/15,21,13,8,7,4,11,10,12,5,11,5,6,12,4,2,2,3,10,11,6,9,6,12,7
2026/01/16,2,0,2,0,0,1,2,2,2,1,1,3,1,2,5,1,2,1,3,2,2,4,3,2
2026/01/17,0,2,0,0,0,0,1,5,1,0,2,0,2,1,0,2,0,1,0,1,1,0,1,2
2026/01/18,1,2,1,0,0,0,0,0,1,3,1,0,0,0,2,0,2,0,1,2,2,5,3,3
2026/01/19,1,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,2,1,3,0,4
2026/01/20,1,1,0,0,0,0,0,1,2,0,0,1,2,1,0,1,0,1,1,3,0,1,1,3
2026/01/21,1,3,0,2,2,1,3,0,1,1,1,0,1,1,3,1,0,2,1,5,1,1,5,1
2026/01/22,4,1,2,0,0,1,0,1,0,1,0,0,4,0,1,2,13,19,13,16,14,7,9,9
2026/01/23,6,5,1,1,2,0,2,3,3,2,0,3,0,3,1,1,4,2,5,4,2,4,1,2
2026/01/24,2,5,0,0,0,1,0,1,0,2,4,1,3,3,0,9,3,1,1,1,2,2,2,2
2026/01/25,1,2,0,0,0,0,0,2,2,0,0,2,1,1,1,0,0,5,4,2,1,7,5,3
2026/01/26,0,7,0,1,1,0,0,0,1,2,0,0,1,0,1,0,0,1,2,2,1,3,3,4
2026/01/27,3,5,0,2,0,2,2,1,0,2,0,2,1,0,0,0,0,3,1,0,8,6,5,2
2026/01/28,6,2,0,1,0,2,0,3,3,4,2,1,3,6,0,0,1,0,3,0,1,1,3,1
2026/01/29,2,2,1,2,1,0,0,2,3,0,0,1,1,1,2,4,1,4,13,26,12,11,8,5
2026/01/30,2,1,0,1,1,1,1,1,0,1,1,3,2,0,0,4,2,4,6,4,1,3,4,1
2026/01/31,7,4,0,0,0,0,0,8,2,2,3,3,1,0,2,4,5,6,0,1,227,69,38,29
2026/02/01,19,15,7,6,3,2,6,3,6,5,7,9,4,3,19,9,5,7,6,6,8,3,5,1
2026/02/02,4,6,15,2,1,1,1,12,2,0,11,1,3,0,2,1,1,4,6,14,3,6,1,5
2026/02/03,2,0,3,2,1,0,0,3,2,3,1,2,4,2,3,2,2,1,2,3,3,2,0,2
2026/02/04,3,0,0,0,0,0,1,1,0,2,1,1,1,0,0,4,1,2,2,2,250,119,60,34
2026/02/05,14,8,7,5,4,7,13,5,7,10,6,7,6,6,11,9,18,14,27,22,17,19,11,13
2026/02/06,2,0,3,2,0,0,0,1,6,2,2,0,3,5,0,3,2,10,1,3,1,6,2,7
2026/02/07,3,2,1,4,2,4,1,4,0,2,2,6,2,1,2,1,2,13,20,11,15,15,9,9
2026/02/08,5,7,2,5,1,3,1,2,4,2,2,3,5,2,8,11,4,3,1,3,3,2,4,1
2026/02/09,1,1,1,0,0,1,1,2,1,2,0,2,1,2,2,1,1,1,4,4,6,7,2,2
2026/02/10,1,1,1,3,1,2,0,1,0,1,0,0,1,2,1,1,0,0,326,91,291,118,61,41
2026/02/11,26,24,13,11,4,6,14,7,12,16,12,5,12,6,7,5,5,5,5,10,12,9,3,7
2026/02/12,9,4,4,1,1,0,3,6,2,2,1,2,1,3,0,1,5,11,6,5,3,4,7,6
2026/02/13,5,1,0,1,1,1,1,4,1,1,2,2,3,2,3,2,3,4,13,4,1,5,2,1
2026/02/14,2,2,1,3,3,2,1,2,2,3,0,0,0,0,1,1,1,3,275,88,64,47,27,29
2026/02/15,16,14,4,3,2,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
