YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2026/01/08,0,2,1,0,0,0,0,0,0,1,2,1,1,1,0,1,2,2,1,1,1,2,2,0
2026/01/09,1,2,0,0,0,0,0,1,1,1,0,0,2,0,0,3,0,2,0,0,0,0,1,1
2026/01/10,0,0,13,0,0,0,0,0,1,1,1,0,1,1,0,2,2,4,136,50,42,30,21,14
2026/01/11,5,3,5,2,3,4,5,1,2,6,3,4,5,5,4,1,2,6,4,6,1,2,0,2
2026/01/12,3,2,3,1,1,1,0,0,0,1,0,3,2,0,72,116,37,42,22,29,13,9,6,6
2026/01/13,7,5,1,2,1,1,3,2,5,2,0,0,0,0,1,1,2,2,0,3,0,3,1,2
2026/01/14,3,2,1,1,0,0,0,1,1,2,1,0,1,0,2,2,0,1,1,1,1,2,0,1
2026/01/15,3,0,1,1,1,0,0,0,1,6,3,2,6,1,2,0,2,2,2,3,175,85,35,36
2026/01/16,20,4,8,0,3,1,9,8,8,6,7,6,7,1,4,3,1,4,3,2,2,3,3,0
2026/01/17,0,0,2,4,1,0,0,6,0,2,1,2,1,3,0,0,0,5,119,38,19,17,13,15
2026/01/18,4,7,2,2,1,0,1,3,4,3,3,3,4,0,10,1,1,3,2,1,4,4,1,1
2026/01/19,1,6,10,0,7,0,17,3,5,16,15,7,9,4,3,4,2,5,100,28,26,8,9,8
2026/01/20,6,3,3,0,1,1,2,3,2,1,1,1,4,2,1,0,1,0,2,1,2,0,2,2
2026/01/21,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,2,2
2026/01/22,1,1,2,1,0,0,0,2,0,2,1,0,4,1,2,1,1,134,56,33,22,24,20,6
2026/01/23,10,4,1,1,3,3,4,1,5,1,1,1,2,1,4,4,3,5,4,0,3,2,2,2
2026/01/24,1,1,0,0,0,1,0,2,0,1,1,0,2,1,1,0,0,2,0,2,166,88,45,29
2026/01/25,14,7,6,2,4,4,2,2,2,4,4,6,3,5,7,10,7,4,3,13,6,4,372,152
2026/01/26,55,24,19,9,9,11,14,19,20,9,6,8,9,5,1,5,7,8,8,4,5,8,3,5
2026/01/27,3,2,1,3,1,2,0,1,2,0,2,1,3,3,1,2,2,1,1,2,3,3,4,0
2026/01/28,1,0,0,1,0,0,0,0,0,1,0,0,2,1,1,1,1,1,2,15,352,237,146,64
2026/01/29,37,26,24,2,6,8,6,9,23,13,16,9,9,10,11,6,6,10,7,12,8,5,7,7
2026/01/30,4,3,3,1,0,2,3,0,2,2,3,0,5,0,2,3,3,3,4,1,4,4,1,162
2026/01/31,45,17,14,10,9,10,12,13,13,13,6,5,6,7,11,6,8,8,4,5,3,178,68,30
2026/02/01,13,12,6,13,12,9,8,11,11,11,8,8,7,4,7,5,6,8,2,6,4,2,7,2
2026/02/02,9,5,1,1,0,1,2,2,3,0,4,3,3,2,1,0,1,6,1,1,4,245,69,39
2026/02/03,22,14,8,5,4,2,5,2,8,2,6,4,12,5,7,7,6,4,10,8,7,1,3,5
2026/02/04,5,3,2,1,0,1,0,1,1,2,5,2,8,9,12,4,6,7,5,4,6,2,3,5
2026/02/05,0,2,3,0,2,0,1,1,3,5,3,2,9,1,1,3,0,4,6,5,3,8,9,10
2026/02/06,3,1,0,1,1,3,1,0,4,1,1,0,2,1,1,2,0,118,147,55,43,29,24,21
2026/02/07,12,5,1,3,2,8,4,2,10,3,4,3,2,4,4,2,3,8,0,0,3,3,6,1
2026/02/08,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
