YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,7,7,6,12,7
2026/01/08,4,2,2,0,0,2,1,3,18,6,14,4,14,5,2,2,8,30,24,11,18,13,15,13
2026/01/09,475,76,35,27,26,32,52,79,66,36,39,37,42,53,94,74,38,54,263,133,54,59,58,34
2026/01/10,26,12,11,10,4,3,10,5,7,11,16,9,11,16,5,8,19,6,6,8,7,13,12,11
2026/01/11,16,17,9,2,2,1,5,6,11,4,11,8,13,4,10,13,8,5,15,188,333,123,62,50
2026/01/12,35,24,16,8,3,7,8,13,14,13,20,16,7,5,8,10,7,7,8,5,6,8,10,8
2026/01/13,7,2,3,1,1,1,6,2,2,3,2,3,5,4,2,4,0,1,5,2,2,4,12,5
2026/01/14,4,3,1,1,1,2,3,2,0,4,1,1,2,4,2,4,4,2,2,4,3,7,8,9
2026/01/15,8,4,0,1,5,3,1,2,1,7,3,3,2,2,3,2,8,12,4,7,16,11,9,7
2026/01/16,4,0,0,1,1,0,0,0,5,7,0,6,1,2,3,1,10,5,3,4,5,8,8,15
2026/01/17,2,0,1,0,1,2,0,5,1,4,6,4,3,0,4,4,4,8,121,41,21,17,16,15
2026/01/18,4,7,6,2,1,1,4,4,3,6,5,5,1,0,10,2,6,5,5,4,8,7,3,7
2026/01/19,1,7,4,0,5,0,1,0,0,1,1,2,4,0,0,4,3,1,3,3,4,5,1,3
2026/01/20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
