メンバー,登場数,単独,複数,単独率
谷口愛季,154,55,99,0.357
森田ひかる,108,22,86,0.204
藤吉夏鈴,79,13,66,0.165
村井優,78,13,65,0.167
山下瞳月,77,8,69,0.104
中嶋優月,69,6,63,0.087
的野美青,67,8,59,0.119
田村保乃,67,10,57,0.149
大園玲,64,11,53,0.172
守屋麗奈,59,7,52,0.119
小島凪紗,58,10,48,0.172
遠藤理子,55,6,49,0.109
山﨑天,51,7,44,0.137
井上梨名,50,15,35,0.3
村山美羽,47,3,44,0.064
石森璃花,43,8,35,0.186
松田里奈,41,10,31,0.244
幸阪茉里乃,38,12,26,0.316
増本綺良,37,10,27,0.27
小田倉麗奈,36,9,27,0.25
向井純葉,35,4,31,0.114
松本和子,34,1,33,0.029
山川宇衣,33,1,32,0.03
武元唯衣,27,2,25,0.074
浅井恋乃未,22,0,22,0.0
遠藤光莉,19,6,13,0.316
稲熊ひな,18,3,15,0.167
中川智尋,17,1,16,0.059
山田桃実,17,2,15,0.118
佐藤愛桜,17,0,17,0.0
大沼晶保,16,5,11,0.312
勝又春,12,2,10,0.167
目黒陽色,4,0,4,0.0
